target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
4,56.180910125777,519.094918822675,1.44170758787253,0.148233574549142,9,15,52.1701250409694,-1.93899907096676,12,76.344340987671,17.7927280432238,36.4720691283855,18.6412659256915,13.8006912262742,279.543731155054,-0.0011842809241803,245.068300337715,6.90736783524678,1986,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,72.8935544580614,1379.72582932135,1.44133094470235,0.182933887964844,3,13,52.031376324242,-1.52631815646601,12,76.3638808039973,17.7632747622356,36.4827043163317,18.6420664106008,13.8076293913266,282.909186504777,-0.0086778294373635,221.973500858324,9.89679582572668,1986,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-67.7967929660621,493.859971281892,1.05663080303366,0.182457925167777,20,0,51.2717184927092,-1.50468527806921,12,109.922001650093,27.7006340824885,33.5367259548326,18.7375100854674,15.7475594281643,283.649074585215,-0.017170907643515,288.425541495215,6.9107494425778,1994,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,264.932532982053,185.653049069605,0.134127014423614,0.205493860072674,21,18,54.4667175684221,-0.232982252937622,10,-115634.944482549,33.0043843941052,33.8548822039201,18.6359731090214,31073.785582569,281.174900465844,0.448467482788442,86.0583233391112,2.11656743565508,1985,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7.76884199963821,627.303467213129,1.38963132407882,0.162571483290566,18,12,52.8231570393159,0.679562393752124,1,76.2252425890063,17.7165596163206,36.6531794652149,18.6247404050088,13.8153307424782,278.782499770844,0.0057579720229053,194.053772848952,8.66529511832265,1999,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,188.031218372763,1385.40277851524,1.44131154163849,0.169052152637277,30,15,51.5620320463886,-0.570314046616253,8,76.4800514412421,17.7464003511224,36.4571310070249,18.6423943826351,13.8103060384696,296.542368943822,0.0004071721807799,266.509133190071,8.59984265744774,1990,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,-67.4394074915177,403.346695914196,1.4420741237797,0.253448574208205,5,8,52.19807216004,-0.718547183899006,3,76.3120380749788,17.7683436639182,36.490993894777,18.6403475589734,13.8056442435514,277.001588144376,0.0034370533126575,260.0223074786,4.75401740662662,1982,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,60.7434248518766,206.730794130604,1.44126190473637,0.186149458781869,24,10,50.4752773558433,-0.548375330033567,1,76.3561493271716,17.748518975387,36.450292097717,18.6440158089621,13.8298087704831,277.986272900223,0.0040987955299297,202.931521787237,4.19433376625639,1983,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,31.6169079149935,772.866628360459,1.44097809567387,0.172905259317524,2,16,51.2426218860946,-1.39351359477337,5,97.1890674184602,17.7370771969592,36.4778745872825,18.644509146255,13.8155169705359,289.297133793013,0.0001661037056748,74.8267975373276,5.22471160810319,1990,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-39.6171072103763,429.005922266019,0.653340885453789,0.161625469503922,6,6,51.3281904083178,0.65549419669245,4,3.91919063366182,76.083653105252,9.63760808996059,17.7312188676887,16.1276357634155,277.408104443694,0.0020724044148391,78.9121116729458,3.87199111086492,2000,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,70.3435892390442,903.749967016081,1.45213912209477,0.187915303650075,14,18,51.3810760872338,-0.985850490713444,9,76.3367692216538,17.7525850267335,36.4658047574054,18.6397877713511,13.8086839825445,289.30366941783,-0.0005894634980199,226.109867097163,6.04395510281578,1983,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.72141000581111,375.343990331571,1.47553124115711,0.241509890327521,17,3,54.1987888953442,-1.87226504997153,3,76.3337598366152,17.7373172058584,36.4920835860771,18.6375576033705,13.8122203556647,271.35406430256,0.0001058008597441,274.699658054076,2.69242006527923,1982,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-33.8856032010024,755.305345993355,1.44120330702867,0.241395181655786,18,1,52.3377690919504,-2.00929925293654,1,76.2713548056902,17.7643753384653,36.4673005796842,18.6419005168331,13.8272471552161,281.364508085973,-0.0044968671068689,216.633255713137,10.2692653477406,1991,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,89.3575818069405,1080.13391719186,1.27350703871258,0.199558937609441,2,2,53.4322993012935,-2.06939556874043,5,80.5792449950429,32.5318205725672,35.629333348362,18.6408875028526,35.8412017811602,279.143976664189,0.0025367772779078,308.421861582252,8.99200755520725,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,24.3653035179888,1720.58514252689,0.808022738437402,0.17447396507456,23,11,51.9018967482116,-3.08563238220276,4,28.5212788054345,47.2328426758106,18.6271794529025,18.6464303640409,12.1224297905125,281.549519457392,-0.0034939734521182,269.319403326904,2.94621165506998,2000,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,57.8729515159282,676.517460572083,-0.022359406229471,0.135936960807454,21,0,52.6544744528318,-0.73087233426173,7,20.0132368892561,42.6733303543461,34.2848779626189,18.6477884223332,2.51426288775431,282.932449268874,5.39952121302839e-05,270.318644479496,5.61565223888132,1999,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,238.161372746204,784.560071797272,1.44233455381349,0.175226941638199,26,6,52.1021409695073,-3.62431999355682,3,76.264535834834,17.7453663864172,36.4900776757606,18.635464903927,13.7965695640895,276.187932117248,0.0017776757434133,276.988704487048,6.71560935594767,1988,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.5710087183038,1095.77150242454,-0.162139830592062,0.199065310281676,30,15,53.5133566623936,-0.375710058482668,9,41.8786600456452,17.758192991134,33.5931180277361,18.6416118964892,13.8052787413744,287.398011242323,0.0004601811314042,86.0148668609142,10.9842489147565,1998,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,64.3374292624151,968.049879491298,1.44259328652939,0.200026597385396,10,14,53.4534148973121,-1.41607729605733,4,76.2862518474384,17.7360861277598,36.4778522423155,18.6407469507152,13.8105338197927,292.106473064622,0.000164237423606,166.940888190615,2.76913699212635,1984,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,-79.4578236176336,385.882584116658,1.4421526071402,0.184131967931389,27,6,50.862691763486,0.0852888736849771,12,76.3373373748781,17.7286687922826,36.4689689076763,18.6499545317513,13.7975943674008,279.894851463827,-0.0005505897958889,328.343433154814,3.91720402815565,1991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,70.8724731218927,415.938493561997,1.7541155679592,0.27501849012847,7,8,53.7336585500005,-2.05791821960689,4,64.6720737337083,9.03112373076149,39.8654767269889,18.4738634004982,14.5572181882975,278.622941773217,0.0005719559194138,379.729882493668,2.03278265451406,1998,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,117.176615930827,790.165628379137,1.44174526336608,0.202920762963705,2,1,52.5833402757075,-1.9539734881196,2,76.344205756904,17.7680541418526,36.4334918111326,18.6463356004909,26.2023166723772,280.009074662404,0.0006389040466987,228.358829147316,7.04874949966351,1992,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,78.3259100583207,1200.42731558496,1.2844462796573,0.247819136420991,4,16,50.7139791693698,-3.23795824310396,8,82.4796942641194,31.8172758372657,12.9478243060772,18.6404714129233,14.9174536116457,292.483070352719,-0.0002608123628515,288.85676285755,4.31140481042301,1998,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,47.9167897111706,1476.27030256954,1.44176481316023,0.217560257721104,30,16,51.500287213426,-1.2153099408911,10,76.3198952762508,17.7720100691206,36.4587285727419,18.6415366506367,13.8188125744583,285.351511544131,-0.0017119436956275,175.567540099159,2.58932729791007,1982,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,-78.3453227647582,906.448769761454,1.4415419086997,0.172970621242836,31,12,51.8817557866809,-0.706443251695628,1,76.3333292298634,17.7560004152889,36.4783202583633,18.6351605907634,13.8140161226679,281.596554881849,-0.0024908144043876,245.364517868744,5.42383098560661,1988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-37.0924445976105,743.754670629468,1.27350706141353,0.185134591458415,19,10,52.8149598418821,-1.20391356934314,3,86.333221214689,35.6946484221846,35.6293323044393,18.6449510984767,22.4271197473852,277.511446996409,-0.0011039799314788,262.851067000952,5.02851693364168,1983,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,96.7154757590906,462.840733073875,2.30290561984995,0.176797888817726,24,11,52.2646168655221,-1.73917021822828,10,95.2766908662701,19.7950514920425,36.4730495209919,18.6421084428987,29.179318686571,288.995806959676,0.0066373323832798,36.8832219490056,7.38300992496262,1991,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.847460021536513,232.219227725409,1.44233598184649,0.301091782283888,27,16,51.9758143218307,-2.23932253976012,12,76.299996406272,17.7453459881439,36.4941826816173,18.6477640318057,13.7976934449472,274.685725587005,0.00024314562982,72.7018220399575,3.95591780797824,1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,138.376374114581,-781.094659220689,1.44239978674667,0.169343581373173,29,2,53.8396290076452,-2.38569413892174,11,76.6782815610711,17.7403130370551,36.4764546259488,18.6351604399018,13.807776957155,266.228847721116,-5.25650965858945e-05,251.616804145234,-5.71541059061865,1988,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-38.1180943772405,-6.22633592630359,0.72950349406019,0.158673083572958,1,6,52.7806968784485,-1.72556074830062,6,67.9481288056889,31.5524599822561,38.7768984948668,18.6433847235694,13.1430001733558,286.57757070151,0.0003718537387753,51.7992309604993,2.85041610772192,1992,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,-11.6806778799252,117.507688244207,1.44149015640038,0.147649178288349,15,4,50.209827799677,0.705091094447406,6,76.3863689230726,38.2229670739893,36.4753472455309,18.6400280598928,13.8197537976517,283.467240473418,0.0009553601752584,306.306873451178,1.87388770012759,2000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
