target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,o3,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
1,151.173510569533,600.939144320552,0.50243116779815,0.139963725409846,24,1,51.9332694950461,-4.30936423516198,6,18.4214100975989,26.8708800013719,18.6464303545208,10.6921448536681,608864.539453989,284.366463025882,0.0040042700057346,299.435383508919,6.07871863831721,2000,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,70.3423384844017,2016.49529949468,1.44233386441108,0.156021987807222,10,15,51.6116182794704,-1.84667873655359,7,17.7881793499318,36.4683004063566,18.6440234257399,13.8067972709207,9675290.06840223,302.699191241583,0.000685306178688,89.9735817648788,4.89754638250899,1983,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,163.371791664892,948.047803578135,1.44212047076876,0.113248627147105,8,15,53.4649934700431,-0.679337431751895,8,17.7655979364392,36.497266595566,18.6407710713326,13.8187106078558,6545758.65187194,294.36531063103,-7.23494839051752e-05,-44.4212383996218,3.81481566545441,1984,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,88.5498217106334,437.149662356407,1.21476557571022,0.179752536270144,8,11,50.8378840542209,-2.34428317399185,4,17.7350275780321,36.5791562585104,18.6516154973329,27.7814432922278,2826738.14573297,283.28537997037,0.0041313232982785,99.4509672429087,3.89351529808838,1992,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-49.8192831547537,107.238754150429,1.30759354145708,0.188171390163036,24,1,50.40462319002,-2.05645532668844,7,27.9769119087038,34.8425596639536,18.6427029216352,0.879823557906548,7807219.07046503,287.492548071658,0.0001351976410021,196.232790795731,0.688377057549667,1999,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,117.852280487583,562.673199331653,1.44252774318614,0.289686207346616,14,17,50.1983679990484,-0.679307687720536,12,17.7480727843127,36.4668703740635,18.6437983716186,13.7870152758833,247414.097522695,281.032688568283,0.0037413261928566,252.541018062966,6.46404391143028,1982,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-7.22199953901288,608.769706594585,1.4417024360773,0.164246859339403,5,7,51.4665685465048,-1.56646700001053,1,17.7519266691789,36.4755723922877,18.6449568689654,13.8211611576905,-49833.5303431263,276.930858034758,0.0016699742392156,239.603175090675,6.02939902150962,1989,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107.517882786065,639.354557720968,0.362422466435859,0.175852938055866,12,21,51.8714055439627,-2.19899534898628,8,32.3877431140706,24.5412860936502,18.6452930958371,10.2669202109073,10509369.9528567,290.142042807663,-0.0006561930991927,210.574062756313,3.27448054676929,2000,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,-91.9775771105553,601.448834373734,0.222805706285193,0.130982278520151,29,0,52.8782087225439,1.29042944887643,8,31.6222216015677,44.0780671917257,18.6417876463054,13.0569199076218,8255820.20025872,289.716097345364,0.0013618047775026,227.540959355899,5.42020934523825,1997,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,135.893155487118,723.064421566546,0.84735150030839,0.0944713665670609,17,8,52.6837549175882,-1.77050959198306,5,-5.02962895126972,22.7089575879982,18.648243068345,5.56059062569647,719709.894920749,286.838356470556,0.0008831225271074,62.7016656358539,3.71835292150114,1998,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,159.62766685665,1145.99012131481,1.44260063695113,0.180557404168385,12,17,54.1472467965557,-1.57637625257573,6,17.7712491789807,36.4806232752121,18.6408794020555,13.7987411208445,1613320.37554424,288.934702183806,0.0012636598103441,220.27362841856,10.0906161629915,1991,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,77.60011537688,639.740038635629,1.44266680053231,0.24330476664371,29,11,53.2554971091359,-0.955886551848882,10,17.7468130286839,36.4706373749428,18.6429086385541,13.8083889535936,267249.162322161,281.584085614044,0.0020890344252434,353.239474022151,4.59259328249755,1983,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,6.88400102462213,756.002590568853,1.4420607916757,0.138013849949996,1,10,52.2205425773559,-1.60862962382181,8,17.7374233138748,36.495391206896,18.6468799287654,13.7905137584322,3122692.08262784,288.671949015745,-0.0014646542402738,317.445721929075,4.09048328931154,1989,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20.5411618934342,197.935756874776,1.44188116229402,0.0787957728317263,29,7,52.8754202924739,-2.40698696430418,6,17.7110685602922,36.4812363090271,18.6354277754621,13.8193167235531,304679.186196954,286.122750998917,0.0001772125434693,173.680614567442,1.212987013209,1988,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,88.3036249356644,625.079129552216,1.20088804837346,0.118529553701826,16,1,50.0182384919324,-1.22510286417715,8,49.200512687763,35.7772562596516,18.6491532336906,10.7556688329701,7363677.06752452,289.808970908058,0.0012821020397698,212.802066126096,4.77667897663258,1994,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,118.342837960726,211.383768860845,1.34551200224999,0.186018124649691,18,6,54.3798552885153,-1.92694373124576,8,35.4974117919515,40.5015737641478,19.4716827360496,13.8540270152123,-22336.0242076599,285.013189043236,0.0013447806422421,241.419455709076,3.80216998084291,1989,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,173.8066194048,-48.89545828918,1.67277631331672,0.189207017245089,20,5,51.793195435777,-1.16024249543228,5,17.7365679464762,36.4846311535354,18.6416237885503,30.8342637594331,-31406.809846553,276.383758076867,0.0020522786343305,-23.1473343671154,2.81493571581733,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,131.681010430947,657.598711361078,1.37215030822392,0.202645378716909,17,10,52.500542522416,-1.38338495405132,5,16.2589030723723,40.2894639780733,18.5794304323425,15.7265316432361,2808487.96477655,290.771669154247,0.0008756922576367,145.957655060672,4.1901383123731,1998,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,196.161238163592,607.212087476696,1.4417232858386,0.156153619750809,25,23,52.1390746886888,-0.202778596002457,4,17.758395762966,36.4577740904256,18.6495488031463,13.8111314377555,4014799.27245118,283.069642546764,0.0011107818193537,226.534171300212,5.46006942571841,1992,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,-94.0777760871765,525.389406573203,0.22817942273054,0.191780279988171,22,19,52.8094122041931,-0.473849652338449,11,21.5926531883563,47.210044333747,18.6408680132309,9.66732394929058,1647927.75527311,280.849298927068,-0.0005469345974633,225.21521988966,6.08114941690306,1981,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,138.380427678903,21.6756105904356,1.44164048062575,0.262696560396449,14,1,52.6045637693316,-2.46101488591135,12,17.698780292228,36.4438053839124,18.6445090280593,13.7957529224156,1788222.46445102,279.337653090128,-0.0013246607009698,-112.202900729027,2.47558187348376,1990,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-8.82046676373781,1439.16868701654,1.44193975352907,0.138199855703057,27,12,53.0142555111808,-2.43739856742559,4,17.7528079499963,36.4537410397167,18.6388983714726,13.804006514135,5575659.7694319,280.137219265891,-0.0006663064338338,329.767700594571,2.33000921596021,1990,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,99.7474765387841,484.911202631822,1.01246449234443,0.209555363082476,29,16,52.1582447993395,-1.60835226193709,9,19.2339121612068,12.3740579556995,17.1682180483727,13.721986746746,3783367.8723454,288.800001626071,0.0011258925785291,141.614268883467,3.07960308186831,2000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-90.9114210028743,413.105002513863,1.44276737425554,0.141676845517407,17,8,51.6565097387056,0.66011885178048,1,17.803543230946,36.4491620254269,18.640669298379,13.8111623159665,-158918.976375751,274.750962428141,0.0035130798541248,111.860106456425,6.60955297324423,1985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,-96.7158881638926,270.897656313318,1.44176795087144,0.163165944876361,13,0,53.6130684084553,-0.634861053604526,6,17.746005624318,36.4630153434626,18.6400289614557,13.8189197519982,3778050.45548098,287.695744532349,0.0037903190961935,385.034653603577,2.9986299482522,1993,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,53.9413227871093,1353.2687133529,1.44164130405026,0.190339323119654,29,17,53.1176751287469,-1.83431790547983,6,17.7559106524389,36.4748302916549,18.6398361602646,13.8085615294465,5264374.78017555,289.367705229361,0.000456607110882,95.28039155922,3.96523534568815,1986,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,177.812242355858,1083.57556054328,1.43935453144048,0.202562579226504,7,10,50.3053686065106,0.575432840567537,12,17.8169912289341,36.4742859902107,18.6401968166867,13.7995004437525,705043.337917526,279.52564013773,0.0007325241026357,267.010060885487,5.14083638469538,1983,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18.9205848147644,1129.91832801493,0.822483040383235,0.171966143492879,8,15,51.4554659258905,-2.14448948026472,9,64.9639417733954,24.579856798851,18.6473842375188,24.0649354250558,3802016.70655754,290.507695505941,0.00027171733055,29.0765389554345,6.86918177998986,1996,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,116.311528520807,356.236554115899,1.44112100959081,0.16870960727347,7,22,52.9514723100481,-1.54354139090922,5,17.770093346711,36.4826354070336,18.6464345188573,13.805765528802,8769834.70864276,281.916819056119,0.0007628993953554,243.874730017547,2.78432352968229,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-1.5699539992551,696.327585360084,1.44257229414327,0.179752227688932,26,0,52.3010585227827,-0.325267149761561,12,17.7567212921895,36.5322794372578,18.6354649901676,13.7936689831268,1823943.46897179,280.167293637931,0.000696210035712,211.573037684817,5.89302863586321,1988,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-79.4899146403224,946.404668068919,1.09331875115909,0.120499906804353,24,18,52.5733096255455,-1.23747457893894,9,24.8849298361747,34.6301719930895,18.6495485798114,39.860486378093,5494715.13175281,286.09112684933,0.0004334652268891,241.95618743171,4.12849210288871,1992,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,94.580124564056,704.7857545376,1.44185039428413,0.167973161442494,6,23,51.7162255875699,-1.56011522859825,1,17.7662790364041,36.4639734189113,18.6395423447381,13.8064475640873,7459707.37681779,280.089067767602,-0.0088952606010859,228.921922382437,3.8020489443956,1984,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,91.4927190685891,559.695068298603,-1.38155682983488,0.185199044409723,13,9,52.1015757991808,-1.52163021949889,5,17.7032830805344,34.4259531425767,18.6404701929344,13.8340744508947,1317421.95966324,283.724454721073,0.0019070971926843,210.19141367218,4.36453211086774,1997,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-15.988117311487,362.080298747766,1.13825766274871,0.175275605860097,7,1,54.1830797284905,-1.17159107131954,11,13.825105446688,32.6413538063421,18.6379546138562,13.2660262409072,2067240.45671238,283.347223776492,-0.0013601810944503,112.029512830293,5.11422080533813,1988,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,47.1181740423883,1581.51860131097,1.44073949654732,0.145601122575794,27,19,53.8314557920085,-0.696702912830936,8,17.7398075436201,36.4700178593411,18.639814531524,13.8496094683284,9439428.31731508,290.16637596876,-0.0007146964714418,203.062178466671,9.3444299499342,1985,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,105.311575195576,1126.91418778347,0.377334985481007,0.118349175497753,2,17,50.9172792421088,-3.84956078819957,9,62.8192681846245,25.583609887155,18.6378804065026,12.9881092914189,8322029.65886988,296.130670319195,-0.0011858578674013,117.870650255485,1.8709461377822,1999,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,27.5607725255247,605.192013391614,1.44131457879779,0.155683982315348,5,5,53.2474808935015,-3.06300842016592,3,17.7729575507672,36.4588732624071,18.6413419948963,13.7934475906154,-18460.1363732279,274.250619553235,0.0038401738175683,245.279559520163,6.63269458878787,1995,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12.9884331993116,1157.52476180051,1.44115879430836,0.193092994870578,10,16,52.2647323982537,0.102219845249218,9,17.7349434572372,36.4777020120551,18.6382548870744,13.8029747264818,5061021.5332053,293.063283780099,-0.0002131025514637,47.7586763914458,8.30064399199105,1989,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,40.5366439876272,1063.49980844936,1.44256013114852,0.1732914951472,4,19,52.4143511101523,-2.00237814416141,4,17.8043729257199,36.4811675574701,18.6459748774628,13.8179803074384,3011917.91174312,281.477604458157,0.002379632185101,175.106926237135,13.6107864540712,1991,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,12.1425585515363,932.055069207684,2.13420417637113,0.162307981902115,10,11,53.7474321317897,-0.515215361693669,4,17.735765603932,36.4835553481177,18.6457828192859,13.4350771708843,1811486.13090015,280.344848646343,0.0014126306498995,283.650966554669,6.90947945824801,1990,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,201.958629380419,334.926072729892,1.27350711147511,0.116991130257392,16,7,53.8919111111951,-1.84441990760133,6,18.419269604291,35.6293318000235,18.6416288994133,22.4271204504562,-22425.4440456739,288.693514237526,0.0013690251444294,132.545445950764,4.787025687765,1986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-4.67979073794373,351.305186464131,1.44215258451828,0.174349819860849,11,3,52.2103011868098,-3.20697604553606,8,17.728609283705,36.4689674996259,18.6499543986488,13.7975945010952,3025264.73054919,289.831891043172,0.0001813658773315,262.017600319518,6.06058643578239,1991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,132.554912442711,659.868598784461,1.4402264175115,0.126361305226539,19,9,50.6306678660534,0.159212782029925,10,17.7927088881921,36.4821760243336,18.6373851145856,12.0265879429385,744008.478326115,286.842392650235,-0.0007110899785514,202.791045602153,9.61830720106817,1984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,112.401217935928,-95.609741963359,1.44131454361421,0.143280264212096,2,7,54.2089747219903,-1.8882097262598,12,17.7730688445123,36.4588738658488,18.6445233797979,13.7934476576516,-110759.563973395,269.107855011653,0.0104245588180025,159.090251648938,1.8975454533842,1995,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-49.1200376608427,487.502898086704,1.44252904362428,0.160197585064898,26,21,52.8982677074804,-1.87426205596329,9,17.8307026333275,36.516802332246,18.6395425552135,13.817855494898,3792213.49966641,283.562276343313,2.50483435647049e-05,233.047977723394,4.4034404828117,1984,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,76.3395932272262,632.282598253958,1.44341716146821,0.169150214655472,2,21,52.572831398272,-2.26506485946935,11,17.7816132655365,36.4686179159261,18.643695590191,13.7777934119996,5639808.19043546,288.221779061156,-0.0052200017973855,138.548811102479,9.56183274261306,1994,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
