target,Altitude,blh,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
3,42.4765382324258,814.524474263223,0.180632648820827,15,8,53.0275624962615,-0.0776052664308335,9,76.286682012976,17.7783294225378,36.459056780322,18.6373097060591,13.7943669002182,929948.901273923,284.649516119769,0.001605366420785,162.562458746931,6.57566955004303,1993,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,200.965840510149,1379.84237512676,0.24606347542431,3,11,52.8183843873227,-1.02920788093588,3,67.6030821229403,-3.61096955024599,41.5505375417214,18.6313951665979,18.0671863542672,1543541.47387024,278.446511986511,2.91004982467918e-05,212.220279035989,5.86210353891926,1997,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-43.3851324519694,850.22939644192,0.20836382158865,29,17,53.9016114500937,-1.75789541214114,3,76.333874847827,17.7401466523964,36.491467392564,18.6420665447516,13.7955836564148,918145.510714557,280.44079586894,0.0006595991413912,248.001918461893,7.10284139037268,1986,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,172.197727299648,493.776951251072,0.211631126674605,31,4,55.399082136715,1.14462701666778,9,47.211579122502,11.2480039396585,32.5328350164798,18.6422494733711,11.7816714694129,3.28843758537143,282.647724946298,0.000323651250431,222.23896434289,3.97793099803032,1988,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,26.3332622762157,730.527589848031,0.18877028895724,19,9,53.5138668550502,-2.00594696084928,3,76.3206334105037,17.7518801326805,36.4755727809687,18.6424188346126,13.8211608006611,295357.442515525,280.610394425062,-0.0004006723072791,241.208681126066,7.99277492560544,1989,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,79.8013752327091,1095.93156777084,0.177224300979523,10,14,50.7713159041301,-2.64465577713001,8,76.3246154997775,17.7548223785708,36.4726943141229,18.7221735813616,13.8110801710328,5946633.04898583,291.725883419743,-0.0010794142038413,55.2342151435275,5.33880329177131,1986,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,37.638173402011,448.401554120273,0.236631240473932,13,19,51.7411688344915,-0.386227884408763,2,76.3108582582818,40.0990432959275,36.4593676493011,18.6466220620063,13.8144966361624,4137295.31510175,280.852942420634,-0.0018228690844029,205.127312285016,4.57672452154208,1995,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,37.0919453952115,859.104440105311,0.157644508035161,27,10,53.1183169514205,-2.93082850582302,11,76.4257274871074,17.7644462599568,36.4633005679721,18.6407683322392,13.8115878037337,222308.4644573,276.617191878421,-6.20705198493499e-05,277.359849052796,6.98816563291595,1985,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,119.376748775103,659.76282160389,0.175415316618283,19,4,51.8282426319203,-1.59152010540502,9,43.867646509724,17.7442464928341,36.4728457027323,18.6432548612553,13.7835834927325,-15.1207614997188,284.412256915643,0.0004431101887787,204.913221975751,5.96401762193148,1994,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,42.8424877489825,1265.06715930383,0.203277888154725,13,11,53.8908804127518,-0.456361010605549,8,76.2870106465861,17.7480728821105,36.46574354656,18.6490290605206,13.8012148158639,4214996.41904432,290.073470751776,0.001612732339726,230.521667396518,6.77708831733868,1989,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,122.443805481046,562.374620714936,0.22640809800216,3,22,54.927362318947,0.518148028954093,2,76.3275026661886,17.777496856268,36.4825412939549,18.6419620387875,13.8037470451734,-283931.433863698,278.644114953829,0.002679101469661,259.680964278758,4.97591115929134,1987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,118.587017059105,-11.118707448869,0.193403993077833,14,6,55.282420634751,-0.604956268967975,9,76.3419096994636,17.7363839399758,36.5152110275594,18.6359222980474,13.7871439291821,191186.389468248,285.43641202903,-0.0071267589739458,244.210625856576,1.5322818256399,2000,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,177.233950672745,119.262249355887,0.191720654908817,26,23,51.1404906400605,-1.79549368069973,7,76.3346287987538,17.7482175989583,36.4768820927524,18.6375807414451,13.809448777894,7313497.26041279,291.243644549447,0.0007567294137683,-80.2439920832428,4.15462764230572,1982,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-24.5194444454096,158.823877718304,0.166241349812479,3,0,53.0997098891059,-0.318808041820812,3,76.3338478246022,17.7372284926437,36.4722495785597,18.64902883704,13.8175846179296,6116082.50356042,279.195550190497,-0.0022121569523797,213.879646700151,2.69455363759383,1989,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,77.8621176259199,517.273373617777,0.144847747148449,24,16,51.2433824974852,-0.0487847164137278,1,76.2401336426319,9.15329878159952,36.4658077389194,18.5871348483048,13.8359368472868,520790.273335373,279.030544134692,0.0010801666642872,88.5500168429609,2.11136454652098,1991,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,159.129545497354,712.003622167337,0.213013135000362,18,20,51.5472915496815,-0.0497013214818296,2,92.3513670528723,42.754052713736,38.7208501535635,18.6452942223606,7.81984752458383,4544739.93388703,281.924189435189,0.000460512667484,279.970969124089,8.96386958548419,2000,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-18.4992425572862,188.839527613911,0.216066325391889,16,6,52.8616556664018,-1.17767060852872,8,76.3246974823288,17.7730240324245,36.4588747493712,18.6447599869326,13.7934478890811,-18262.2945990308,288.289520659366,-8.27138140592717e-05,387.359536672647,1.01673983579897,1995,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-53.0403810951536,1024.48023529178,0.207029275604098,9,21,52.0884862260083,-1.53659909601791,12,65.8055713706748,-3.71063430399025,33.5821528916885,18.639358719552,14.5716125854677,3982131.51805081,279.589739784135,-0.0062573980404862,287.903787376151,7.91427200401261,1999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,105.174836798691,21.8661785998118,0.201260325641445,5,7,52.1450215321303,1.13143241510774,8,89.8639432315107,17.7484194090187,36.4895833543222,18.6444896723564,35.2324074326406,317580.579779064,291.014220370888,-0.0011537220778888,142.398470851143,1.1506537985162,1982,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,47.9022763796615,645.297086238298,0.198411436136746,10,7,53.105765633327,-1.41208283558832,4,76.3234913002209,17.7338802352643,36.4991010766542,18.6380200392292,13.8210983399674,158740.805010295,272.716700919663,-0.0006639306050547,134.029077238059,4.48710210484747,1983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26.806590754789,234.770281950261,0.116665119323549,8,0,52.5694089657511,-2.40781324534305,6,46.3373596688934,13.9444255229796,8.67204310484725,18.3711885786274,6.70180442859804,9326444.14690311,287.775305680875,-0.0004950540912118,138.880879699956,4.63479185200061,2000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,139.015711343097,637.07538273566,0.167971911103847,21,18,51.9195002962753,-1.73225497101045,3,75.7215902444789,17.750498684948,36.4770262008399,18.6354651823822,13.8056057306965,2614629.10620799,280.650504195339,0.0012088278643417,262.655999574244,2.87829287723301,1988,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,125.557035852401,1343.84042850283,0.245444649704538,29,19,53.1363491083193,-3.47207356754349,2,106.286289905998,14.5699125718681,36.4680148045565,18.6955118218393,14.9167973770951,3513631.20986953,278.594856092048,0.0027965505447719,233.036487689852,10.3438541861903,1995,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-74.4113740312081,508.199291761551,0.170097215759783,11,10,52.1838247195018,-3.05049394054539,5,76.2116989758562,17.7456904846273,36.4630157954034,18.6449124417289,13.8189192230869,1045028.91461428,286.085379536439,0.0015771475722791,59.6224831228378,5.55878329527785,1993,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,114.43049192499,1135.56424860731,0.203435648559911,25,13,50.6400153363366,-1.08242735427476,10,76.3085958391497,17.7674169308751,38.3968196383081,18.6455249885734,13.7939331290863,2538752.80563764,282.770134617408,0.0004472239115115,248.595928148537,5.66677712712582,1994,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,204.165189894921,696.691338163445,0.104732603746934,22,17,51.7782086609853,0.254363875053793,1,76.2855736114621,17.7589555806848,36.4594407212923,18.6400298851978,13.8281587762549,62577.8801359222,280.65594701442,-0.0001355552493882,254.995785551761,8.78027129796778,1993,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,55.0484946318159,334.039309031909,0.216325517340832,17,7,55.0440650507648,-1.93071014775099,5,-115657.356239173,12.7094821587533,33.8548809116997,18.3829205548416,31073.7851010639,-26373002.2580977,276.127358558444,0.0813373460286529,38.0726563167993,4.26571442811982,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,32.0630364154485,1848.01692554789,0.193193900321647,23,13,51.9430833847673,1.52327613499995,10,73.2292396095643,17.7371177685089,36.4846305852427,18.6506583019711,27.2481790841277,4659135.33535321,284.599173754949,-0.0019847898618084,318.837178009114,7.61807403486216,1984,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,215.883802269267,1009.98659009131,0.214928080776737,26,13,51.2389257922433,-1.8165067261032,12,40.442804435695,16.4091413632315,58.4380732225081,18.636464835641,18.0968936144999,3248109.19867647,281.763665789617,-0.0012932595251696,269.14829331539,9.9534254562773,1997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,223.102886753537,863.35815656634,0.117558846163892,17,13,51.3305684748946,-1.65565960825178,4,76.4102577891422,17.7250841827549,36.4997195857793,18.642397987933,13.8004020481046,4547359.14025721,280.573222195611,0.000738615666261,265.536356630736,1.78706892756495,1984,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,15.4122349421552,402.888692472296,0.147144631657363,24,20,54.3638940925735,-0.699910636668194,10,76.2726742845737,17.7373434042581,36.4953921548389,18.6450260341598,13.7905135965215,-579441.096285844,282.788355078452,0.0011279478207114,254.202362324584,7.04342332218219,1989,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-44.5396455407274,1051.12242421402,0.170767336745091,10,12,51.6593266910452,-2.18745157569591,10,87.934143376771,31.982409254683,35.6293333751252,18.6378905205242,22.4271195327822,6046402.47038555,288.402412873317,-0.0012588769324391,126.332818335054,4.96574944224738,1994,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,59.1786254995191,1886.21136472432,0.165063705598877,2,17,51.7418532109311,-2.35708007669168,5,34.6504946299613,108.07973895435,36.4716603524855,15.705664072625,18.5684225295109,5463795.6859169,284.544104337583,0.0001367501105909,439.758116785952,9.47437282057578,1991,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,82.6107476599283,594.052520272606,0.271265588060756,28,8,51.9826003308242,-1.23625962974737,12,76.4394804140298,17.76210977977,36.4649332953844,18.6374778924995,13.8153952096431,471120.009973988,274.596588635213,-0.0105429526532648,168.617670446173,5.04394738092159,1981,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.653025265951584,310.662267039824,0.188278846063017,23,21,53.4635881712143,-0.483292527604801,11,76.345898675407,17.7348403140801,36.4765610671384,18.646689893126,13.8430275187637,4723157.86817203,279.186966901491,-0.0057281591575927,247.090453650989,5.46447980406618,1984,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-61.9691925455585,2223.27380432273,0.122480828237874,13,17,50.0913522156536,-1.44938194363402,12,84.6559319044641,54.1803036993868,35.6293318699934,18.6417789897017,23.3372323830852,2630509.51219286,287.357064290554,0.0010333022118039,235.500670985575,18.9386365553529,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-35.702252570722,788.973167149971,0.172029254062328,29,4,51.8313330789784,-2.39919163180021,10,76.2622015606955,17.7740223921908,36.4804594043069,18.6449216591981,13.8059274447203,11.9774776757682,283.948024197083,-8.56579871653883e-05,256.358416057179,8.6033993695963,1990,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,77.6899563936449,994.433617687149,0.220463860079371,21,2,53.4444973406458,-1.11076186221536,3,76.3957803636748,17.7467279372306,36.4712345442868,18.6480313788831,13.7937686288736,-4721180.65877029,274.095916518186,0.0022538384772433,212.863167955263,10.1847026591632,1996,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,172.561223170353,1967.32098817467,0.235790235270257,21,13,51.9904573826306,0.915158704740514,3,76.3272549134302,17.7466760078947,36.4758259733775,18.6421492914569,13.795591682211,9038503.89153873,285.237650510038,-0.002779090712687,267.558417664132,4.27649793055042,1991,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,96.412279531039,100.008250471859,0.190738670928173,26,3,52.3529722950525,-1.0300158050335,11,56.7999099468924,16.3817208772806,34.9448647438557,18.66690893959,-9.05333907720905,2611490.51894461,285.613029572842,0.0008167949584423,160.861582145509,6.7854176779318,1991,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,90.1323198320751,236.114563032835,0.237712650451475,9,20,51.7206321791779,-1.73472067494049,10,41.1738133572128,52.1458098462264,17.038228364193,18.6360897333787,12.1039235803108,1988009.35632956,283.368416183001,0.0007260934227018,316.107760812493,3.79384043942179,1996,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,14.4371429915605,653.197242515276,0.152241659518715,2,8,51.5634862141991,-2.26871577378084,2,84.385015335766,21.0826073849526,39.0145950001989,28.897989174977,27.2675332223443,227087.818402531,279.530997499897,0.0005794960087327,290.975222031005,6.6569091975279,2000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,124.28908537067,1467.955265503,0.183787002209354,26,17,52.7189212680083,-1.66575926543285,3,64.2371411412407,-10.4553959952686,33.582151971519,18.643554410941,14.5716123245646,3591924.94744124,282.602097333758,0.0001975557012348,271.886238203577,9.79561560916613,1995,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,15.8418036602626,318.495662508031,0.180876470687652,13,0,52.1741880909402,0.301695264585037,10,76.2889706441825,17.7116764579682,36.5038304310272,18.6385690249923,13.8243423599601,6944898.24019139,283.990883772817,-0.0030837120615538,153.981391227871,4.92553056740726,1996,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,48.9226015934579,701.279519157886,0.137688641769168,30,19,51.4384320219341,-1.97260501417967,5,54.4270190657099,30.5003139024214,45.4121095712469,18.6408834876914,30.6599551239153,6669662.40040853,284.749493531803,0.0006839156252115,189.578892924487,4.65628813772295,1996,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,58.9325424277249,1041.86362884149,0.24899366201242,28,10,53.8315290535841,-1.51388664944289,1,26.8058369450193,51.0443991693336,18.3459460029851,18.6428021207884,3.95777437538741,1184557.8981073,277.967929038892,-0.001547509035739,258.55421905015,6.17192116483945,2000,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18.0730829908084,1121.68065303064,0.102897620960161,3,13,51.6406856302175,-3.27701388915873,6,51.8188825357304,68.8959086844587,35.3098620150856,18.6382441476937,11.7476119724472,9564680.14904754,292.204652341129,0.0023268640225331,185.724015941989,5.58562667001263,1998,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,112.167878104121,2321.53594765273,0.169550875276554,15,11,52.3031311922181,0.976655330730315,6,70.7947503586447,56.0411662702046,31.8557914712341,18.6434913838025,22.4271204478294,6815248.89362074,289.093010456759,-2.62130357389265e-05,303.626713487814,8.73158351216753,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
