target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
3,30.2828234224172,1753.59167152198,1.44075007136977,0.206270116325797,30,13,53.0367451776195,-1.64874964624126,8,76.339545061335,17.7783156873162,36.4825410258093,18.6395934706578,9599308.31722623,292.572227624723,-0.0012696726708539,315.679107724119,4.78678402483617,1987,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,110.342552606285,-186.07390664357,1.44199287038069,0.211655398777284,22,14,52.9748898042086,-3.44209506669487,1,76.3875925159527,17.7889246053769,36.4926236670589,18.641960020711,-194403.439865297,269.724995459977,0.0003063973134115,-137.690711328949,-1.97900040655969,1987,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-45.593245155606,503.382673908384,1.44221534993145,0.248220425804541,19,7,51.788506558673,-3.46030787674414,12,76.3832289459378,17.7617968902297,36.4892574851066,18.645207785641,-113135.637385633,280.636482095865,0.0018135066627742,264.193259171574,4.78267886281439,1987,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,-15.383406703203,1660.62864430673,1.44081878097738,0.144401874794291,31,15,53.5478459843452,-1.31910889643771,3,76.2912011742876,17.7480808795964,36.483228220392,18.6480458777637,5902447.19621293,278.2707514325,-7.07501323022766e-05,136.487180434934,3.75811603075736,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26.3503385286319,523.325743883336,1.44042007711829,0.147860573808894,17,20,52.1898809748548,-1.14717839345052,9,76.3046530740719,17.7566258860016,36.4744369519685,18.6354658813122,8055996.58761845,288.192609777609,-0.0002441919013328,380.355626722938,3.39348166712832,1988,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,51.5686951939089,-80.668298361905,1.44075006013568,0.191886189363255,24,7,50.5121951388289,-0.850598283020445,3,76.3367661099719,17.7770549237994,36.4825417595579,18.641046992007,12827.3242668571,270.955094262337,-0.000412988993653,80.0222402163268,-1.07034041737665,1987,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,187.912521413486,359.838792005335,1.21436061265569,0.15151454834194,3,19,52.1922967229946,-1.10104596813121,11,6.18882469432484,19.0534931857454,19.2558811817775,17.5817497350602,-720777.409013665,278.485609551778,0.0021980827108258,271.670769399199,3.79879184357945,1998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,134.106545431554,1672.41628840129,1.44266688053001,0.242259137984499,24,19,52.3382360112336,-0.203655550320409,3,76.3231556159605,17.7466242526439,36.4706371880187,18.6377957122044,2010461.09278115,278.476350419411,0.000137882067643,346.629842417662,8.53669193682757,1983,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,81.4465457801331,664.596856215338,0.933528121058056,0.202894832804556,16,20,52.6320734045018,-0.118833680250532,10,82.7308730784752,17.3320330888411,35.3195113325081,18.6406038769962,4812067.62051578,281.952202680104,-0.0016428136716932,138.028180002083,8.52257627069611,1982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,172.257531317897,477.745378515344,2.44371253455278,0.197539784430688,8,21,51.4173852309808,-1.94786583427249,7,49.7902855454633,17.7535232310987,36.4667183824334,18.6424486417892,7707391.36895312,290.600429876059,0.0008998987310486,117.7386349626,1.35705996284752,1983,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,337.825616600163,600.114558341029,1.39186536333474,0.134756483358972,2,21,51.9258516320696,-0.244224252084598,4,76.3936309662788,17.746760767564,37.5324328558279,18.638569108076,18993.5266083224,277.309319010554,0.0021129133748894,203.047493182607,4.89732034792098,1996,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,63.3258619734298,713.338159477542,1.44341682526506,0.226677325362746,21,0,53.2778949693,-2.85711468185624,1,76.3519350314404,17.7465392602894,36.485321381504,18.6368666171942,2436008.60979213,276.9742279961,-0.003041476985265,253.775173409116,7.16019672180451,1986,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,28.7876046959534,1506.38440333474,1.44029021924571,0.105270097214396,23,13,53.1494137099896,0.452632173054758,8,76.3215712963465,17.7521258149757,36.4335579345047,18.6365998781356,11801372.852579,297.806462528169,-0.0018446836579805,98.6789209840156,2.0029878911247,1990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,231.170522827081,1868.44708613404,1.44503891839398,0.108858177054087,24,16,52.3594189310551,-0.898467401916648,5,76.3459619884177,17.7876442909186,36.4694201285151,18.6355399629486,5072253.34904283,295.733274157509,5.56660819858394e-05,266.833304121336,8.30616367204294,1982,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,156.946997557341,652.824365205004,0.937803614298171,0.199006543855679,2,0,51.314006523164,-1.69615779624173,1,93.0275914191816,-20.1286990806206,37.8779069203692,18.6916894792354,5174847.30976668,283.439246462282,-0.0062060224855468,121.363697904864,5.74541583727523,1993,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,141.068382061462,1538.37400740485,1.44103492409534,0.235242616973514,6,23,50.5672724253114,-3.58279377086743,3,76.3022617956682,17.7486512258932,36.4875649542122,18.6419700049687,2033277.1256965,283.357484283479,0.0018989690334985,297.59257030048,12.8603289645325,1988,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,136.577581554142,1592.18742621668,1.51960003911857,0.160412088426925,18,19,53.7202194623996,1.59762714155073,6,65.5318135388083,16.0949707714731,36.4730499217773,18.6361060716758,4089426.99380916,284.225502650943,0.0005352860958442,312.399988345947,4.07646763937026,1991,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-72.7289749119884,506.943829741553,1.44116268806785,0.187892305467869,8,17,51.2223365956108,-1.84539300805778,3,76.2610271849251,17.7599525487539,36.4783162477414,18.6407684452634,2231061.34746764,277.924485370996,0.0004132341997506,220.10375085735,0.826748505573139,1985,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36.8423652889108,843.395738881832,0.359429163722791,0.15030488598339,21,0,55.2289950075288,-0.957208656955175,6,70.3211897836441,17.7511451027094,36.5119391765247,18.6406569408864,9903471.20168083,285.518291275283,0.0028280514367338,419.906465231524,4.44722572752609,1993,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,168.810054756437,1536.75160870322,1.35079289019314,0.175919268136859,28,14,54.1561767875198,-0.159020575047277,6,92.3843889647369,13.7277332280894,41.1737857196261,18.6432758626344,5937891.53859271,289.190321914718,0.0010597345358139,226.855596036951,6.70267153721886,1999,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,134.354011923142,207.319465234274,1.44202214162957,0.168209871595764,29,8,51.8276829840468,-2.03097704069418,3,76.381310108279,17.7796295418636,36.4916124128664,18.6351605646642,213113.537536332,280.456657259419,0.0007561937132489,218.038415938978,2.53108460780903,1988,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,110.00562253661,1679.0977758894,1.28136756452969,0.182840591532212,6,11,52.4753324613102,-0.279946931547376,8,63.4903979294943,-13.6666378194392,33.5821515962344,18.6364598612363,5113124.647941,291.521313812321,-0.0001769857210254,231.687445484705,4.59345891344621,1991,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,210.016042315405,1143.78209180924,1.19617275616249,0.203663685930395,17,21,54.4005737018836,0.300506811734478,2,89.6899391731058,30.809329797583,34.3135885387362,18.6387151777049,-1088034.73883238,274.602668724821,0.0016076548012043,290.019056422444,10.695693601587,1996,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,33.0652042620292,-65.051781896369,1.44193554329836,0.211225678410752,31,7,51.0709762689294,-1.46157743477804,5,76.3687029611509,17.759477780491,36.4758637600389,18.644911643542,83106.2304645987,277.799939195876,-0.0002890744876768,19.4014114920714,1.80078952193256,1991,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,50.0183828341239,1033.05270825429,1.4415241412728,0.162165918888765,29,10,52.6872735827915,-2.61308317269513,5,76.3181404698742,17.7098789862349,36.4991867654237,18.635464538928,800661.642250882,287.219894499951,0.0013916803593757,201.546959122027,6.9321185277635,1988,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,42.0798288919352,29.3528223106652,1.44254060521997,0.168505686443881,3,5,52.6806892583158,1.09709142259702,5,76.383554434899,17.7672475027483,36.4821814027302,18.630569258566,31109.6809745053,282.159538127434,0.0015237550694699,259.475891889227,2.18241813049778,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.00734686907995,456.56627466007,1.43894956066444,0.133706194946641,2,7,52.3687799481087,0.281253043560837,7,76.4067299227125,17.740459354257,36.5033627875844,18.6432017559196,297132.764799436,285.858998048085,0.0004327400913909,335.389863996636,5.96869801312814,1984,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,48.0080296690083,863.548011363113,1.44142816782178,0.179238230609923,25,21,51.5577548912769,-1.95912928691753,9,76.3071452762338,17.7291892044108,36.4629082401481,18.6342673450747,5277851.1479363,289.431947624505,0.0013547171700679,220.223870538433,7.52768571806198,1981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,56.9906862847004,2966.24205156252,1.44209656856513,0.184191941253107,28,13,53.5109219405317,-4.61367964921944,5,76.2962892197839,17.7567108256111,36.4942139391014,18.6407665567087,13418737.6117121,288.522367456287,-0.0002993374897718,198.519872914665,6.42641522416505,1984,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,172.584038536574,-57.3820710169998,1.19617288088765,0.278985674028633,27,6,53.1800910168685,-0.199052661551608,2,88.5507086276635,16.3172938077558,34.3135884774155,18.6438340619261,205342.344936607,276.43894293557,0.0002303233933084,240.277873346875,2.4051730229463,1999,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-40.5297339945057,1123.10612613476,1.44278934570225,0.204364270935699,9,12,52.3005477562557,-1.83994677902992,8,76.3374534703856,17.7494506280161,36.5008459823407,18.6449173819099,3152062.34432798,291.840930598287,0.0016036178959906,232.301661561573,3.51168791469676,1990,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,125.953926436027,663.815549080987,1.44089331326881,0.241966873371008,30,7,53.5324984771117,-0.591118270963821,8,76.3951691791927,17.7408753005643,36.4765874817713,18.6355437652606,147192.924171434,286.510832336686,0.0004760311592323,261.75493899325,6.96856051248076,1982,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,167.732641278516,911.777972327172,1.44115704820614,0.201752317791238,15,8,49.1568278813045,-3.45296016765824,6,76.3950691943742,17.7560223780639,36.4629170361579,18.6415228157533,1614087.97748315,289.127945711933,0.0011282712229299,313.604416602183,3.13450720563185,1983,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,101.850271120776,1443.00402746981,1.44256014227107,0.148694362026464,3,13,53.2482097042225,-1.91900696334574,7,76.3769645684398,17.8041499197939,36.4811664247304,18.6385377169583,8225556.35325991,292.227717199228,0.0006858084157815,45.1780905449216,5.9750749376916,1991,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,48.5251180908396,1514.27867483984,1.44258150609517,0.162439826337295,5,11,50.6115769573947,-1.44354763702296,4,76.2715191568355,17.7163476800456,36.4887745336646,18.6436953173958,1880869.99194604,278.486254843734,0.0008705949099751,300.675181969937,8.80276872605303,1994,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,111.834168711546,759.255670387236,1.47898244901619,0.178665630198836,29,15,51.9078268949289,0.179511365601292,3,63.8316887762361,17.7498050761909,36.6290545624935,18.6359209283156,1340645.11521105,279.156792249722,0.0015197276787709,293.113208781503,6.1696199471865,1995,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,109.846840631654,814.694891117118,1.04089185391569,0.167402036352976,16,18,50.2946648982278,-1.71437708776905,12,78.1956805847826,10.7316430938804,36.4621263706718,18.6362851630039,1882246.91656124,273.587799250059,-0.0007157307578046,78.3522962917351,6.64699433132718,1995,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,220.692031257002,736.744745228007,1.44145578394328,0.203840346597654,27,14,51.0636926902455,-0.435051859035454,1,76.3183500150493,17.7524975067393,36.4558933919675,18.6363474524081,-834938.635333883,275.395988017344,0.0028295835411911,187.222985420191,4.30021331388112,1985,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5.66704325498935,114.359562914765,1.44103493079657,0.178187037825896,18,6,54.1983004203318,-0.582342856331779,6,76.3552257858356,17.7460007457936,36.4875653360545,18.6393524035018,87130.9428468349,282.775869935829,0.0007890892062862,274.432539927584,2.17569541767941,1988,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,73.547042449323,861.69677467495,1.44147482685009,0.156657179601756,22,11,53.6572616204018,-1.81086627063644,9,76.3420385952147,14.7173970563113,36.4774701251427,18.6439308328594,4404509.85979382,286.609171239967,-0.0004964815700776,240.905765831389,3.30476658851945,1985,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,78.6007878335842,1478.5122716039,1.44043559017642,0.163564199324587,8,10,50.213495590161,-3.43181760172888,10,76.3138728853966,17.7407090145943,36.4601683697062,18.6490652398732,2050665.03135017,285.964770254756,-0.003437930877137,262.688998238017,11.8654674824293,1988,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,297.503870552331,664.498345729228,1.4411210759197,0.217180500024988,22,6,52.427401957298,-2.07563955465942,1,76.290722711329,17.7517914738368,36.4785692590593,18.6375783018281,-98389.6634193354,271.630208405596,0.0003720608746372,284.292484060122,4.93411018963769,1982,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,29.77815521887,1533.28892993802,1.4413145662858,0.175496585400819,6,15,52.0017181184651,-1.63182753927474,3,76.3500114307616,17.772809634004,36.458874353745,18.6400527965539,2726068.58216416,278.021665479976,0.0007296976959368,298.854324324766,11.9643904962513,1995,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-71.5829585815282,259.768645501051,1.3814294943321,0.14897988025645,29,2,50.6247914490928,-0.432366357852213,5,56.5893171450774,17.7443306600839,36.5706332196238,18.6370775077395,3661915.39677517,286.248914181205,0.0035472128936333,229.118481564895,2.83531138169084,1993,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-40.4673240010337,1135.78694628155,1.89341152374701,0.205521021541988,19,23,51.0680718924501,-1.82465359869638,2,88.837071435933,17.7478962749162,36.4290132627471,18.6461460604684,261723.518280239,280.058203161936,0.0045269725410063,236.114152117193,9.98303940064414,1997,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,89.0737858179098,1263.4152533228,1.44192133551738,0.15616026467038,8,17,52.4611714292816,-1.48868736747729,9,60.4945490988782,17.7678386114455,36.4732141941668,18.6388839666158,5253715.4814304,289.431586428068,-0.0001419452347386,204.294561997471,3.89138813130683,1987,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
