target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
8,183.570179699754,886.54054793353,1.27350702644951,0.223685777827504,20,19,53.4977076572829,-0.434143011351258,4,76.6883190672205,35.6293321067437,18.6413945308398,31.1969615222083,4536936.74520563,278.988463675793,0.0023105613634014,110.503682380598,3.83139453908877,1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,46.870023109488,1689.82775765728,1.44104757097278,0.19082037199642,19,13,51.770403705083,0.0553275941994096,3,76.3644942664373,36.4730228374181,18.6402119197244,13.80730970945,-523799.807550379,280.620522161975,0.005163262502557,227.019934640551,8.86096967210488,1981,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,-2.23232405412482,715.687338255437,0.134127031189915,0.221649479638213,17,12,52.6995210387176,-2.6658128091476,3,-115659.684785839,36.1589952968309,22.6110458746466,31078.9379415088,-837932623.420797,276.404380890041,0.647165670637485,331.661474488623,4.80487390073361,1981,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,152.792451034147,-130.473977863907,1.55016508966964,0.163474314794575,1,1,52.4799330351591,-2.11569929993841,9,71.6349722849845,37.6560884075939,18.41928218405,16.038690922667,8477296.55512323,285.183328687278,-0.0037833276316448,78.2868402985453,2.83004146725169,1981,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56.8764451695299,468.531270128738,-0.312555202012993,0.111859101450359,22,23,52.4666814607822,-0.834530100829966,9,5.9360280426884,21.8233259263669,16.6793752080949,6.72008347290129,1993367.28498319,286.3652732453,0.0024568462482725,185.690082379128,4.62095303093691,1999,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-39.0806771818832,1159.59416140224,0.134127002650425,0.181996274329496,3,6,53.499808361816,-2.06302144766838,4,-115656.526708026,33.854881353407,18.7063189389415,31060.6700278355,-16254438.0271474,282.065777119659,0.0654728212542689,180.141751669942,9.67941150881413,1994,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,57.3630682296604,2201.79211391768,1.44073943161424,0.157469007346116,10,16,51.5870963540022,-2.88760713870044,7,76.2962483956016,36.4700173633178,18.6407685200724,13.8496091937437,7414713.69997616,289.898007176946,-0.0001895542662837,262.612977307808,4.38366609716156,1985,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,160.813271370896,568.690688065591,1.44231631782041,0.208274160146128,18,17,52.8289534481435,-0.0365284052449046,1,76.6498453214136,36.4684647979348,18.6385474369949,13.8248729451049,-313518.416830737,275.853341395001,0.0033459811798157,260.401238087366,5.97961737293493,1984,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9.47772823561041,915.896893011856,1.4400248224392,0.111367752436327,10,16,52.7312442007976,0.59256316380848,10,76.3043393153843,36.4455855343711,18.6385920380443,13.8127710459507,2006249.6055964,281.375856817902,-0.0001532093556043,30.8059335895902,6.04124264666762,1992,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,53.4337928249818,2072.07433756222,1.42537752484445,0.158407140549885,13,14,52.9420729002039,-2.10301794905783,5,76.3404018341411,37.1368331212133,18.6353053309574,13.7982921363438,7056249.32732429,286.095116694439,0.0011519520055048,417.536584880492,7.3984896834684,1995,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,68.9345744034542,342.635206619708,0.549815069890658,0.218002647048185,24,4,51.8835053542321,-2.21038765879799,11,49.6064111677711,30.1021208711651,18.6408297189104,0.358405091797379,-10.5710285020258,277.787793212608,0.0005963732212974,144.968643081607,4.6193303947933,1997,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,115.089328933511,512.097471725484,-0.198605787399443,0.133112171103995,1,20,50.8611612312871,-1.31002371888225,9,15.3838300590159,1.9295673873415,18.6286023020846,1.73341602870197,5831436.83267153,288.399984315099,-0.000660520981304,252.901639827208,1.10057388411624,1999,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,171.077244578122,1543.38822510809,1.44204153919968,0.173823539637034,1,10,53.8360106187502,-1.13012009967054,5,76.2870312848578,36.4918477822193,24.0311664948878,13.788590547643,3597393.67641941,283.9117798846,-0.0013714519805209,229.361564608291,7.45314592389123,1998,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-60.6817386723387,744.257157888228,0.79668647382713,0.152583951351294,19,21,53.0993233965401,-2.71023534263994,9,46.0234504481672,44.9357215066611,18.6351700417946,10.6757745764402,5076785.81784457,286.38039920334,0.0009337720549535,135.379846437737,9.0075560483872,1993,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,132.682869181441,918.508250432776,1.43744355038511,0.153983164568423,30,20,50.2746042281048,-1.77376845275157,6,-3.1434141903788,36.4418510465635,18.6140032217956,13.8185284006613,7292835.41601357,291.058184592054,-0.0021946685380869,308.711269178278,2.20519448938419,1998,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21.2860151056993,673.448241998231,1.44228065985423,0.10914423237826,16,19,52.8326104810498,-2.55779235161558,11,76.3525199276272,36.4758818273661,18.6347698364165,13.8082141559465,4249125.36270317,276.675086463068,-0.0018216823550143,195.799107721817,4.77412365231389,1981,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,95.4540801885319,899.071892341281,1.18805976602839,0.221241524469817,17,16,53.0756366611973,0.841276430286105,12,47.4905842342822,36.4853256049509,18.6406568865061,13.7999144388373,2116272.98314362,279.491114630651,-0.0012429623158276,256.04948340689,5.77644541234056,1993,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,143.599103067726,1352.62128371903,1.44174840176848,0.115379463604195,11,10,52.2089361782585,-2.61662049731592,5,76.3551232635177,36.4714833642255,18.642066710236,13.8127291993674,1567857.17519563,284.915940772653,0.0012535309958015,237.805909787822,8.62050435225838,1986,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,122.836325176415,912.748591877588,1.44111376167326,0.163739079340276,27,22,50.6290740050928,-0.510531720952105,3,76.329751910396,36.4580365271102,18.6440031083506,13.8327195690961,-3232862.17857871,277.323594924573,0.0037669478353186,565.160547358918,9.96772882217266,1992,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24.1753736379566,408.808479602929,1.44218086426448,0.173247919193989,6,4,52.4287079826157,-1.59289395020142,8,76.2907645899796,36.4584030793784,18.6446588587748,13.8061508366763,-2.21998725475973,289.202470631885,-0.0005738048839335,79.3169701699828,4.82504537248817,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,141.74398377314,69.592839543941,1.2652000819627,0.191742309883388,8,19,51.0753352169278,-2.50654885778595,10,44.3361103537281,31.9885287152488,18.6387143714243,8.74577094164269,3761526.82769737,287.361499380959,-0.0012406250122098,293.848460355068,2.212572814761,1996,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,211.639883020963,542.24429941253,1.43894954927294,0.0732205370383659,17,23,52.0397999640215,-2.71879629718868,3,76.4067270910154,36.5033636140442,18.6432018289798,13.8220802859799,2645289.80551816,276.019627467375,0.0012741080943714,43.9337022168054,4.13083618851821,1984,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,103.1606074354,1216.83241823234,1.44186980125377,0.116892320845664,11,6,52.1550143772155,-0.696060801217516,1,76.3505340576393,36.4723342214822,18.6365182341199,13.7905159214146,-83885.5940458996,277.526598248045,0.0021842686863536,255.61002185216,8.61378443569,1986,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-23.6876011501542,1087.13395915797,1.44260912864374,0.222395644380194,8,10,52.3680421759216,-1.7838806837649,12,76.3181300187483,36.4704393293171,18.6415654252845,13.8024711686833,280867.625387136,277.684918845146,0.001265767741086,224.848497758723,9.09046080914432,1982,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
