target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
9,-59.2699446385133,39.090308368273,1.64156213250672,0.205427566458359,19,1,53.2366894890238,-0.973760499371196,5,48.3354188799849,20.5950559519074,18.641432149144,17.3834665137592,8897123.21417943,285.885453033574,0.0014437279004227,211.425283931293,2.81616384485449,1986,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,122.674059039773,352.865079761386,0.495409733274016,0.237860408484765,17,3,51.5709689035352,-1.93498367307209,8,45.2963904822755,21.0020779701556,18.6438340161859,6.16539734836222,1754554.44557248,283.09654482962,0.00140942286835,177.998662883636,4.68379298476886,1999,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-42.8795022161479,140.542542594908,1.44154184403469,0.211217990324157,13,21,50.5449197714216,-1.19517934451191,2,76.3354496334589,17.7560646815081,18.635160579586,13.8140160294253,337929.848919766,276.833868475768,-0.0011372497347792,196.627293773623,3.57936284018867,1988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.5597422225526,768.387848709487,1.44279099556632,0.255345060820016,6,12,54.0604879012086,0.375735915124943,11,76.441877767808,17.7027313712336,18.6447746309904,13.8136821895676,2206124.49013213,280.472106855558,-0.0005059668213762,349.033049248897,4.71522369790783,1986,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,-4.47339067416377,730.374855738327,1.32471207189584,0.146541351810287,19,18,51.5744908664717,-0.33123447970686,6,76.3067705938927,17.7539509504501,18.6409752875015,13.8123801128587,10627967.9592534,301.22736838744,0.0002082100955229,228.10333247937,6.43538984222967,1995,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,107.649163634399,1243.21159408913,1.4410185219682,0.274121931894611,7,11,53.2963013481271,-2.53890948502179,11,76.3986227713281,17.7093340800712,18.644704102456,13.7852922301808,4163277.8309356,284.69702783037,0.0007984619799227,245.255267638329,9.05937765250882,1985,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,170.072797921903,206.336263484733,1.8466854900126,0.16968057207809,3,4,52.9408777987722,-0.715182487931262,3,57.0717285971198,17.7447497007119,18.6385696053881,15.5822987212837,-0.786523227071518,275.836506447478,-0.0003594577871241,436.87744855429,3.18238820152966,1996,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,55.9325163110977,994.96687894422,1.44214182642305,0.161146831477047,4,12,52.2340773343215,-0.450742048428941,9,76.2307357279494,17.7661856829807,18.615412966218,13.7990325008826,3652500.29300933,286.442394872176,-0.0012727380649884,227.963143755632,5.62771375298254,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,100.475118261721,120.465184335885,1.44273585880591,0.19535575532178,13,22,53.2381109883529,-1.39409873237507,9,76.3303821472991,17.7680145976596,18.647788896221,13.794960766989,6886215.84839547,284.876351300027,-0.0001410047923811,219.203652601081,1.91944817424369,1999,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,71.5451934361321,195.011152312763,1.44181468045387,0.135852592288841,16,20,53.0526953032194,-3.14114637698019,4,76.3314851488671,17.7285910710199,18.6436216358585,13.7994860688015,80733.368737784,285.524748058871,0.0014172866828537,12.6403278805183,4.51430940237052,1982,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,153.341177879136,696.706853348731,0.945906493055274,0.174886260558232,23,9,50.6949209709475,-3.1224192594182,1,39.860723852056,9.97375908142143,18.5467129169385,11.7816713838035,1369776.76883631,277.290141766837,-0.0106562036031681,83.9698704674285,8.34970647562169,1996,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,225.775743577136,465.071659312437,0.814347968770167,0.136191720488433,6,7,50.9267818478682,-0.3512101070521,4,53.3166625781832,16.29736400943,18.6414442249026,32.3077150232504,79954.0469722098,278.257383270357,0.0014421612281014,291.060505576529,4.74991319699496,1994,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-5.45416601237653,1130.99651647728,0.987495583420298,0.176396962677128,17,15,50.6316981621709,-2.84816245628666,8,40.6186725790131,31.9251205891448,18.6429555389188,9.75463017634076,4587995.82526033,289.705564255104,0.0002646258514595,227.376035741492,4.7795893318321,1993,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,8.95126294796071,1172.73924567639,1.28136745212806,0.228682084951668,28,17,53.202062695526,-1.21417467111307,10,91.5613866926403,-5.96548843127331,18.6386984796758,14.5716132341093,5478737.0607541,287.027230209506,-0.0014205272491151,237.635874520457,12.1219497292854,1996,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,30.8922525674649,-140.268163099868,1.44171233168921,0.164443239975276,25,6,53.2699463020617,-1.18959898779129,1,76.3767236955109,17.7611216334009,18.6419606950437,13.8518892208032,126954.556910697,274.160778808165,0.0015944816856122,259.899216876425,-0.374329457921107,1987,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,65.8135798413204,101.592211216795,0.22817945656694,0.211131871391425,22,7,52.536245638219,-3.45746157256799,4,66.5062832916897,19.940462379983,18.6447457393694,9.66732414796771,118223.988442494,278.256752249863,-0.0002547858779451,236.528704480582,2.47906031510413,1982,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,99.926123994982,282.77153527085,1.44318653386472,0.165673381286869,29,0,52.6875281803929,-1.99865377104105,7,76.3750377843809,17.8114809350579,18.6475581175951,13.8165769686276,9079580.51389992,288.350687392806,0.0004171204952671,190.6327008851,3.22264777786038,1992,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,78.4091987252255,92.2052618672888,1.51217115636607,0.121820259457336,24,2,53.3042935919182,-2.9024808223677,4,79.315061480029,18.3735207433476,18.6358340592882,8.81405693537759,6270590.33812882,280.689847908882,0.0013235781991442,87.6530764344721,3.15500059963177,1987,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-7.38242407709581,1419.73511727327,0.942356820089841,0.112576553504006,17,17,52.1705863213402,-1.61041514962909,8,127.975663742185,11.8515641409348,18.6486355761685,18.8238691263744,6489978.14327068,289.315711354021,0.0004652442814584,255.143355329546,6.13583600391489,1992,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,77.1355282696856,669.062788668452,0.925122590437938,0.19284584486612,24,18,53.1709608227574,0.182320926807673,10,83.6819570989433,34.1346213977828,18.6370836757179,24.0513047030727,5943608.5425703,284.945641643752,-0.0005323231486471,131.050250582901,4.71806348620211,1985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,-13.4617083266669,543.826734473647,1.45515808606245,0.193781309267659,14,1,52.1189112953869,-0.762930921000327,6,76.3115888321132,17.7469351055749,18.6390291652811,13.8183140310765,2330316.09597859,287.360857335883,0.0020208181372973,285.550039749387,5.96738011134094,1984,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,296.642445453707,767.20635433143,0.797121923848513,0.202043786482003,17,22,53.3316070839538,0.345184435740621,3,127.358204021357,40.069675792994,18.641544574409,10.739358211753,6531636.0631077,281.312348140007,0.001270919248406,278.8722699426,5.03375455380807,1998,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-22.2996102795426,401.799518427706,1.39186554140131,0.208920895983125,31,9,53.1859940496888,0.0853118232918699,2,76.3440366139194,17.7470039926221,18.6385690394156,13.8187795816499,-265294.594852781,271.917519491799,0.0031507627533439,223.601785657226,4.18279798832094,1996,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,81.6234424526635,1128.56204978013,1.44383304521868,0.152700918024952,17,17,54.4960307910371,-1.87525928261041,4,76.3397728280223,17.7315684204536,18.6416446261631,13.8294606557999,4409618.54250857,283.344173364426,0.0003181085392543,173.111916358627,4.08470713877737,1987,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,-8.71310322435882,146.99626008089,1.43203654906681,0.191923805780021,2,9,50.8289423720496,-1.73052622962554,1,76.2797315861163,17.7591056643916,18.6469480711848,13.8517895382435,583396.591015831,274.999255560839,-0.007663664296483,245.099667395052,2.06056092929037,1998,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,77.2402035281556,178.239906088926,0.710454068532556,0.195497356737075,22,4,52.751808974165,0.775141386236059,5,63.8756135455924,14.1194112758603,18.6404748862287,15.6781859393597,22.8498814503389,285.468547789726,0.0008102100210625,167.972659079953,4.66417228762228,1993,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,65.1735728620605,866.869410207263,1.44158549857203,0.211535717290892,12,13,52.0250319018461,-2.46649491579578,3,76.3557006687871,17.7494136231358,18.6393584281548,13.7964896106812,705150.692840507,279.782458691774,0.0014205549710564,166.07476138764,2.53089194656319,1999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-112.722509171553,1734.8334308912,1.4397040636254,0.212515558862487,20,10,52.5353817030649,-2.61053865016389,5,76.3263235211935,17.7715670692558,18.6388980901592,13.8325711465836,4177999.6061923,283.581755219688,-0.0021501144786045,234.492651921117,4.71342129229507,1986,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,73.6507881688462,-602.817546991143,1.4421901627218,0.221748259692847,2,4,52.5127698677344,-0.607403987872341,11,76.4240166110073,17.7197845937159,18.642901184831,13.8515201548026,33.2733991023309,278.0166099202,3.86324246251794e-05,153.863821443978,-3.46962167715794,1983,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24.1795953651945,323.345151593229,0.767413854971477,0.224620544740967,24,15,52.9850190393347,1.53528945804486,12,57.9936079756969,21.5314300180232,18.6269528832271,28.6906297639294,4829746.36193633,283.021346035173,-0.001379662500713,206.940012253614,4.79546100302192,1992,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-52.2121768728312,-645.250971155932,3.04712105427549,0.200231573709067,9,18,54.1714235816692,0.602964597360813,6,84.8274931453767,17.742398150656,18.6386349405931,31.4598300952608,4831274.7581264,298.6674606796,0.0010247629937379,200.952868087618,7.22744727806076,1989,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,154.576886445037,371.605090206505,1.44068126399831,0.177248191887423,28,5,51.5980726334155,-0.868763633608239,9,76.3679963160083,17.7439323402832,18.6495084420569,13.8053122549363,50153.1357157217,287.59873731177,-0.004484295984984,187.469457604583,8.58761526707231,1984,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,55.0537858091355,584.941117245442,1.44202481198584,0.176831605164385,27,5,51.6272118902072,0.241807038058637,8,76.3418854669133,17.7387433362068,18.6407681022516,13.8033990018478,152821.259633251,286.924373451071,-0.0017738809280462,226.810281099086,4.82430598255603,1985,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,141.236812372667,32.7850800568455,1.61056828532226,0.211653983350015,15,1,52.5500921413991,-0.696201423280981,3,85.6587057109002,18.1296227404341,18.6599898059719,21.5514011573637,2809975.10570156,280.95884322335,-0.000679800726655,288.682969859163,3.88764066301147,1998,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27.2718007736637,525.108411337425,1.27350700248463,0.17193586988174,21,4,50.645463940253,1.4893263189672,8,94.3869455106428,-0.350424140481616,20.1679093378681,22.4271194397806,-20.4422242419375,283.131567686032,0.0002515797301496,296.953541483302,4.97975327114667,1987,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-40.7677567050096,330.067255063454,1.44240788658607,0.188788616754872,19,20,52.2543099710202,0.254842589922507,11,76.3188209752356,17.7467824330337,18.6476706534816,11.2278006115756,6409925.48520047,280.432608724132,6.9416508892685e-05,156.827825779851,1.53070864460538,1997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,149.362630071578,1147.34103644353,1.44184941547455,0.169427523531124,1,19,52.4816302538137,-1.07887258532141,4,76.3269089615783,17.7539609854019,18.6390533742136,13.8002347854879,1644924.33775798,278.651876380178,0.0003800600191912,52.2271966180278,8.33015878692297,1984,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2.72268592911514,838.124358631408,0.932610675447669,0.189450790161504,13,15,53.1662302704394,-0.834746801403732,11,86.8540321400778,17.7388490198776,18.6452752219837,13.7999143549084,2410495.26823619,280.71473353132,-9.5378001047777e-05,181.358881506766,1.63181714347277,1993,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26.064465529085,1016.14744262256,1.44299836771463,0.155912854051338,26,8,52.4601011325378,-2.18534727277432,10,76.3021075820638,17.7423999926439,18.6393330749237,13.8030984741037,419238.931543388,282.567931872579,-0.0021587426877554,351.014556226337,9.29198512193607,1992,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-38.8057998338937,302.452114873297,1.41269342686481,0.268785530702532,25,19,51.9788865065088,-1.30290561742204,1,76.3073430907636,17.7266687815726,18.6429695054768,13.7956698245429,2097449.89738866,279.152099701809,-0.0010262987991896,59.7975701582398,3.29061658041127,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,66.2552475001846,-141.938083448355,1.44094811975568,0.209892053765674,27,3,51.6073527203306,0.694798286821467,1,76.2856949713199,17.7374784683973,18.6421963105137,13.8345857638183,-596016.881721022,272.888737720511,-0.0012334115381185,265.753456590272,0.480112413577264,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,206.975761294565,442.69280080379,1.44145150877507,0.170813811128909,14,23,50.4678642809083,0.272034653481396,5,76.3822010230601,17.700156931435,18.6408840194636,13.761043290093,4197616.91709421,280.195061384879,-0.0004665445825459,58.0657214757665,4.45302475302766,1996,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,59.3931408194943,101.697301242698,2.09623106276938,0.159751400898546,27,5,54.1404577695541,-1.64720254923152,3,80.9785281234866,17.74210036902,18.6476317316122,38.0246985995366,-75489.6745084241,271.631638956713,0.0027049594938244,170.70752724737,3.1263624635392,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,82.3892972435968,7.13925127275082,1.44142276071795,0.320811531408175,20,5,53.2476284768521,-0.692234470792785,4,76.1968530117939,17.7463505488433,18.6432187309421,13.8143662581005,110463.328318024,275.090504266038,-0.0009977423075458,142.154387037517,1.10289799933732,1992,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-9.36594070336282,-25.7625376485344,0.945906418702478,0.218543195023331,15,9,54.0673324881451,-0.0233961944221355,3,39.2576779476643,14.0550531032198,18.6658655967202,11.2844459582523,360216.118254594,273.505561857964,-0.0009615646513477,279.113862993945,0.429635008404573,1989,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,-100.104382118595,1100.37211534608,1.44182611266818,0.247647478636364,14,4,54.5282969459352,-2.11046501581662,3,76.1054573256904,17.7394931260275,18.6447318756402,13.8162513219569,-7.93616121662913,283.094185528093,0.0005644083771764,234.546123763629,10.0297826986516,1989,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-60.0646812440454,354.291972224233,1.44233632563007,0.242639152064778,10,8,53.0076703307142,-1.33351314945755,2,76.2581747377068,17.7704847526353,18.6362850626653,3.20312859536677,17312.1726102191,278.869467564701,0.0010646214079031,108.550316773077,4.5397300147982,1995,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
