target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,t2m,tp,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
6,14.7563068897906,639.491880959425,0.933528157089465,0.222224447297594,14,13,53.8363658183961,-0.769596284616805,1,83.6810219346721,17.3090201763934,35.319512346384,18.6436943607826,14.6277078999829,851435.042174769,281.695656547501,0.0003948087973934,6.26623538244629,1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,56.32723377656,732.344479311892,1.44276200277463,0.131516542415834,4,6,51.2048082352297,-1.22056502994948,1,76.4023567236441,17.7935418970676,36.4664049339009,18.6402095235658,13.7982226618345,57660.4232459555,278.912142907885,-6.25415789935677e-05,9.11554995014518,1983,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,145.722643393491,-1013.34366681084,0.956073190140923,0.0912428696146484,28,22,51.8558646374582,-1.01140590183046,1,63.41757429505,4.81882504932611,47.3539834252388,18.654018320755,11.49784778742,4879469.25939304,271.655832130657,-0.0038980252209838,-3.77880521819288,1999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,172.466270867518,406.324035629126,0.303782283218252,0.224960290409733,22,19,54.3812922835634,-2.92011675158491,11,49.8292058610757,17.105811801722,32.8889157519089,18.6357130684248,1.22083939464921,1569743.81029842,282.764963280374,9.96553925531608e-05,2.91808242810566,1997,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-63.8226193549354,244.054811480125,0.593131235223331,0.125557416698631,27,1,55.0726729027298,-1.49024419434417,4,58.4654505748281,21.7708120646965,22.0399512396837,18.640471270628,6.14706188429205,5258766.01004083,282.919111168236,0.0010959145208919,2.73461176743952,1998,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.59362342879105,1153.7157851647,0.945906415502695,0.181434998539586,23,14,52.1631724334022,-2.05193799991622,12,42.8690499002526,7.10409558405476,32.9744802876099,18.563765537374,11.781670984422,1344595.51007048,280.14352408708,-0.0001563401431963,11.5412752340597,1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,-27.5266063502354,314.253064636594,1.43984553153484,0.18899929979971,31,11,55.7359392769044,-0.610969646597971,12,76.3532279472955,17.7702601103558,36.4774454613972,18.6423125993987,13.8125302486208,-320733.386761371,278.852338022682,0.0011277542946356,3.47233169339094,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,37.4259313160462,338.617978916994,0.594070363844387,0.133143918753565,1,7,54.2676226580784,-1.59017326364035,3,36.1063067439974,23.3556506047083,26.0459322805005,18.6477865726225,9.2090806653428,-195283.402211838,270.014404813237,0.0003494376102004,1.27006283736726,2000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,29.8330484263609,1092.17063909722,0.134127049189391,0.171906609724472,12,21,51.7534372347371,0.60687737858858,5,-115651.068790268,10.2474994724498,33.8548804818996,18.6420784426563,31073.7847845998,-2278857882.11284,280.849308667453,0.44932235163703,7.43910012155915,1987,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,109.349217023116,648.090621445784,1.442864462398,0.130791633164634,16,16,52.1011924097339,-1.2377088086954,1,76.3092560192852,17.737094091102,36.4722502468135,18.6382637693436,13.8175848420714,-2234649.84343729,279.458180371733,0.0016052649807954,4.55026667051097,1989,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,82.7603247752239,787.3791387029,1.4416611383345,0.277301413167552,23,7,52.825743169753,-2.6847979528176,1,67.3931480448839,17.7505719030871,36.4770257176081,18.6419565141355,13.8056059610329,88636.0656602698,272.426379583357,-0.0035087358804672,4.90528618470299,1988,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,114.687388711138,188.912837320352,1.44173658105112,0.201083944724498,20,8,53.6864306544742,-0.479708224542417,10,76.3215944252529,17.7421476371619,36.4788290786318,18.6396868515828,13.8090350737873,320801.834550575,281.818476388685,0.0021681233713651,1.96745884986664,1987,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,63.7197358019112,1247.19645672185,1.44278814257752,0.211877711786727,14,8,54.3826162448723,-2.08352055922799,10,76.3765224261325,17.7518927227209,36.4418607129474,18.6436222632734,13.8132075836356,1034198.51070727,283.073325250701,-0.002637015740887,8.01241547461377,1982,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,29.5399147732392,115.495887633813,0.653219338922986,0.147687864633323,4,6,51.7219068531865,-1.49631162088975,9,75.1788125882549,2.42169772302918,15.0882057009847,18.6447161656564,47.9366520895751,20562.6231026282,286.729910610733,7.83305762839249e-05,1.53426280403464,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,101.211696139049,627.287613895885,1.07948084170809,0.16740709932115,26,10,52.9860596146702,-0.123152824137444,5,79.6897124451406,23.9559357847957,35.6293318603634,18.7150265728353,21.4683976939607,628859.00714366,287.093020058264,0.0021112635454809,6.6715211142627,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52.0276371415671,918.13883977573,1.44039959566978,0.213383543496247,7,10,52.8228810754506,-0.108203863505574,8,76.377655535286,17.7525406842188,36.482506319671,18.6400528272719,10.1290384447795,1873871.90167241,292.223971554305,-1.40141554057312e-05,5.78384206291035,1995,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,81.3785694046256,6.96663929013945,1.44375596994693,0.243677864965621,8,1,52.6636181247696,-0.940149246535037,7,76.5736578308472,17.767729334582,36.4783756002913,18.6347489240898,13.798275273936,9667876.75980601,291.38303312084,-0.0004920332173671,3.95003785688638,1995,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-2.09270499198468,96.7111105857924,1.44135858296504,0.169402706481674,3,1,51.8889312182278,0.928444688317068,8,76.356472921569,17.7537744097736,36.4810637622355,25.0660901265169,13.8055891903101,7795582.07745592,288.154767136392,-0.0025186528496335,3.19936431561834,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,136.101355342414,610.668878474398,1.43604217778223,0.223263259350452,17,21,52.6921095625651,-2.72724759629943,3,64.5544652421833,-0.21094585850885,36.7914467513632,18.6359239049387,17.9311494082091,1490228.60353289,284.453706697295,0.0016611400372651,5.28219439402443,1998,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,68.262536112548,899.702352016254,1.44222798625952,0.137452596657188,24,17,51.9147896594873,0.840067711800827,11,76.325337926068,17.7094983312639,36.4961235888988,18.6283625908547,13.8563071931514,3055922.35456482,286.645724339293,-5.61700186032903e-06,12.5835320323134,1995,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,111.433934229536,391.547557874892,1.44335166898442,0.119226021394809,16,2,53.5351169727146,-1.3315492118698,10,76.3761928450868,17.7406032752318,36.4638134279898,18.6347684133143,13.807812856081,4785082.75951178,286.368638599262,-0.0005367037162618,5.75846963876988,1981,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,165.388640048648,581.613120506598,1.44214984609453,0.167824319671819,15,22,53.9742625898058,0.213520780581748,5,79.249562368561,17.7660762604624,36.4763707046875,18.6430894370883,13.8358539920155,4924235.64670026,284.253145985527,0.0032729776508007,6.16142422259697,1988,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-94.7487114581309,1826.17347936497,1.27350706732646,0.173430967271999,16,11,51.3430703111569,-1.86998117621188,3,85.9762198492493,46.6601217337237,35.6293322823433,20.1049875153729,22.427120610452,3532817.83987473,277.981304784667,0.001436532528993,11.6200134508184,1985,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,54.0989881488003,1226.54232207317,1.44278812556908,0.179332546806932,28,11,51.2897638303602,-1.0434269325608,6,76.3807345469557,17.7518888460267,36.4418588430086,18.6436216111548,13.8132075667802,3206461.76599849,286.775344738915,0.0028251336605406,8.22537279111789,1982,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,61.7883882091126,438.653605388901,1.44015048192196,0.176217892269501,23,7,54.8053248461465,-1.17238776369354,10,76.3427169078954,17.7464071954291,36.4857981374494,19.1210330323721,13.8302910485372,125122.017200386,282.873593079871,0.0026131497738724,6.7984383770225,1998,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,72.9751521995891,16.009024498301,1.44206610123682,0.189496233400307,4,19,50.4684189220804,-2.37079805695089,11,76.3732041740214,17.7013601907906,36.4747386846651,18.6433292050848,13.8118879990975,7068553.94074834,282.476055570081,-0.0040687325421161,1.79619855625505,1981,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,63.814505092982,1392.71567692679,1.40541658792256,0.213917628617964,14,23,51.6210982837336,-1.45536533377086,12,31.7448425545862,1.57069316519091,35.9840315633888,16.2954718418751,26.6824539191064,3746732.26249225,284.474433890139,-0.0024633923359026,10.3058877677448,2000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,17.6152448739926,178.139813634974,1.44172459539114,0.189555175325151,12,21,52.3039822154253,-0.0622088824486617,10,76.3187738104822,17.7779714966417,36.4957436377818,18.6384851736623,13.8187057296948,7211544.5603897,285.808510043532,-0.004869893860497,2.37700276608486,1984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,-43.8320175290738,1142.02980003066,1.54281457406767,0.216896891137753,20,11,52.4397740748541,-1.54179279287347,2,90.4527337205983,18.7980347626126,31.7290969114243,18.6142808438258,15.6189451314492,2840893.30277457,272.730387900792,-0.0005195154940455,4.79588734515682,1983,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,21.317269487421,507.564879782569,1.43970177829979,0.180109929071345,15,19,53.3795244943591,-1.04419860916872,2,31.3155724819619,17.7371447468775,36.4700523236905,18.6322431972197,13.8159576324442,3111007.18400883,281.543159260403,0.000977656384383,4.76894868012941,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,60.3439572257463,801.76907701055,1.63752674694474,0.181031583755527,13,10,53.7057526549223,-1.84179863557633,4,78.3994870456716,44.1722950420599,37.3404329834618,18.6330504844077,4.28617237557313,2844141.60871243,284.467698466343,-0.0003088655886662,5.51200428836854,1982,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,67.1675648169332,437.818066954493,1.44281478930603,0.157109640447938,18,3,53.1290752714974,-0.195539148965931,10,76.3847573106852,17.7395956034676,36.495290312702,18.6343118525849,13.8208310465862,-26618.8056474609,276.729686157339,0.0016390713760082,5.95592812032706,1990,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,73.6244265246396,1526.47886359337,1.4412621480934,0.158553005724392,7,14,52.8400642628527,-0.0676313111822122,10,76.3119340056506,17.7467829751231,36.4704898199778,18.6397845733504,13.8153051649917,3367450.36519576,285.625892997748,0.0002032049578351,7.46656515467317,1983,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,61.1323157511569,778.018049386265,1.23620793466859,0.237023895048034,23,18,51.325285527253,-1.33451431897937,1,452.158473399017,41.4069766124533,36.5034904658403,18.6399360616661,16.2330859470772,5842952.47768792,283.121706183788,-0.0041457289677258,8.19631169087698,1983,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,185.323301575301,463.927338257296,1.44176828532114,0.16159822066361,9,0,52.2476505878654,-0.52621032633326,9,76.267483371645,17.7756396834031,36.460821286816,18.6388654507138,13.8060179494609,7099176.89352646,286.027496501165,0.0007767264524509,4.75464461618929,1987,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,100.917648281571,1091.61096908389,1.44256010168895,0.176559405401433,19,20,53.8534343968271,-1.28541292208007,6,76.3773577115512,17.8043571279368,36.4811671999819,18.6421436896093,13.8179814522608,6998323.90971634,283.38708810345,0.0035208940124204,4.15177127504966,1991,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,66.4023448700706,1255.97593675083,1.320698227292,0.144030972197254,11,2,53.0522350392867,-0.154048264150228,1,111.114218790588,13.6746103606899,38.6867653077173,18.6472579407751,23.0605320879071,-1188523.37111266,284.608803477148,0.0030560800927527,15.7537925116963,1986,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,75.1524287642627,539.039290920776,1.44104438102659,0.124891615930835,21,21,53.635262245432,-3.16742875606558,5,76.3278898579071,17.7688498757747,36.4746682538566,18.6354646888014,13.8193749305657,6509767.49717942,284.876518289874,0.0001917329745611,1.7260707294194,1988,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,183.30453548434,1121.48040101491,1.23620796535193,0.120570689979755,25,9,54.2480487640679,-0.207155706772946,6,287.530963616812,1.99354196243805,36.5034899738528,18.6451500904504,16.2330856846659,3516711.1962029,284.171422457881,-0.0009561038347726,3.14304182735328,1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,62.733994416583,-341.22836924371,1.44298620470019,0.200824400392475,16,0,52.6792800219124,-1.44006433456546,11,76.3911706180358,17.748432588402,36.4519248780847,18.6424054247035,13.8061429470958,4924061.9258135,278.110240747278,-0.0010047498049721,-5.74006441051908,1990,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-20.9531247555929,796.300241125265,1.44193420895178,0.194234646053906,5,16,52.9349016847854,-1.1916754007349,3,76.3528974728259,17.7345893793717,36.4644970886203,18.6390077405919,13.8056746772279,4613529.1497481,280.042344324599,-0.0003594469732433,1.89256967983685,1984,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-35.7685010778928,1135.7935391168,0.885297993852405,0.307264158221031,29,18,53.046102035481,-1.31180178961045,10,50.0561433102342,19.5186164445434,40.5577717589635,18.6452423966801,19.4459799266696,4285246.54871703,277.04827987449,-0.0011694902514312,2.18907451235297,1992,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-52.3254973690672,548.11113681652,1.44255413089212,0.138549506614702,10,2,51.8578856515253,-1.5328178276431,4,60.8693641604389,58.365219547393,35.6419651930541,18.650902354452,13.7322579919547,-37679.2052583834,278.96188766784,0.0043108488956705,4.04497893351617,1999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,47.652804900977,530.85086818148,1.4420863063362,0.151381018111963,24,23,50.3832349501864,-2.80226742071379,1,76.4179759821644,17.7536372384279,36.4825814144747,18.6407685167812,13.8426547553342,-852386.350013466,273.644836522663,0.0005110981164514,4.69679881301751,1985,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,96.8154244897137,629.829389995245,1.86076899667444,0.202424899961674,29,4,53.5463581474825,-0.566936859127569,5,62.1525159229855,17.1559364699804,33.4881348459,18.9964807994422,14.7336488183674,-17.5316261222169,280.596074200871,-0.0006019252364039,4.90787356826874,2000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,33.7566751364114,54.6396172964051,1.44173830457732,0.15633190857192,25,22,52.8489866801534,0.78555993684516,12,78.7104520195265,31.2115750688121,36.301730669928,18.5589374913528,13.3426346415621,3273048.66060938,278.563766890744,-0.0032049207292765,1.87694078138531,1983,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,22.1629036735714,548.629065118026,1.4416188177978,0.185900722923883,19,6,51.9506702933255,-2.01770911465652,11,76.433604996589,17.7671303719052,36.4623391710874,18.6429562141417,13.7908560247429,148891.680770913,278.761777110638,0.0023295295211757,6.79963220163696,1993,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,20.1357993203448,1528.47906765987,0.0967872011325372,0.177632127912609,21,14,51.6164400482438,1.30458441170456,10,46.3685628102882,31.7676349372971,29.039605629582,18.6458163375125,10.0978707504646,4289665.17471334,286.249933588889,0.0017196292510222,10.9177851475865,1999,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
