target,Altitude,blh,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm10,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Portsmouth Urban Area,Zone_Preston Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
6,-35.1135323370872,54.3660366110484,0.226770482735437,9,2,53.3860168269231,-3.52698348881521,12,76.3113093125199,17.7463055871782,36.5100739068899,18.6384113356767,13.8230749803714,653885.462448143,279.799494656569,-5.52052338262663e-05,269.550970708326,1.4863860104403,1985,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,10.9947117819918,1268.17761763452,0.139765991759471,23,17,52.5584875513728,-0.856799355847155,7,76.3386677727806,17.7559690097445,36.4783201297578,18.6364989774024,13.8140167151469,9817383.43230947,289.958997733095,-0.0008221236857231,236.499509934296,5.74864040045216,1988,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,134.682485975441,825.035867754189,0.187250293764115,6,1,53.468434367163,-0.357850203247218,1,76.2326593182603,46.5389006092806,36.482985975305,18.6424523040564,13.8060982831212,-235457.931208207,275.683950270356,0.0015720041012357,306.022291693279,5.64300327463986,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,296.891579018112,917.279644020681,0.18531535011139,8,11,54.322663605064,-1.18582629159154,7,76.2910264521131,17.7539358863384,36.5016546094695,18.6396437248864,13.8002344276305,2987678.14405073,288.926169914629,0.0019726425940561,158.307995318645,2.09766138982118,1984,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,164.198091871295,503.923096791147,0.135425553381697,2,7,50.120002212401,-0.478584675609763,5,54.1141340298264,23.8666706200665,20.2674384355232,17.4499094502763,2.91905762283029,107093.110811894,283.836116694441,-0.0013141069622394,32.1156809306036,5.19939546167058,2000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,40.3553212288538,1163.93756467615,0.184696043653895,27,14,53.2445123868739,-2.09110053135313,6,78.7683236764103,17.745880229865,36.4639241924426,18.6464395413823,16.3442549330376,4236511.70805862,287.696153972836,-0.0001745187847636,281.244745310042,1.76478875204808,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,91.8253395659964,626.367621825431,0.112750636035986,4,14,51.3797581672441,-1.48723628972026,10,-746.785266923399,21.6880423726113,30.8299875473485,18.0704204099146,16.2022967562673,-897097.906269854,285.032965240867,0.0023149323726526,232.163477803424,0.619888527372893,2000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,89.9161151964753,1634.76187373137,0.144925288205943,31,20,51.0985540661095,-1.8187137040687,6,76.3594975215894,17.7454924891713,37.5324331732729,18.6441965442003,13.8187796634784,5719710.62661628,289.729295202577,0.001298319298884,265.484506503445,6.57220481559486,1996,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,164.752881581855,548.061025025942,0.151078520431227,7,10,53.6989773221414,-2.16434121043015,10,76.3251418895993,17.7326011706355,36.4895178692308,18.6429302249331,13.8334379128825,1365459.5504928,284.782430231559,-0.0020184380480921,28.6710413782426,7.30280503972804,1992,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.30255403658389,1514.92535799654,0.217235060524073,16,14,50.4455672188014,0.289544702230093,8,63.0840689448472,41.2423569749665,26.9077692977882,18.6436955161625,28.2285606243649,7482791.45800871,292.510511491734,-0.0009172408544082,220.386018117087,4.03081871415413,1994,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,19.5050780181581,618.361552207082,0.16039096763817,6,9,54.2150345466621,-2.3418959277427,8,70.3599596760509,23.1199805968556,35.5515914920122,18.6420564373927,15.5562163720866,953916.471158766,288.953105655285,0.0009097896647265,238.658512106405,4.6786752715797,1984,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-34.360211355947,125.770733963782,0.12735710062793,5,8,52.8750185273146,1.1318078072222,8,68.98402629224,9.95773552861311,33.5821521050376,18.6477884083016,14.5716122088708,955621.999510287,290.65314762204,-0.0003900858878747,105.094672332917,4.25542807770787,1999,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,357.951266681067,785.550031302059,0.135042478611607,2,9,53.0586528148195,-2.60903400057357,8,23.9539113357551,29.3643223899001,24.9696945007795,18.6452920485104,12.1815567864117,1030330.87700496,288.539552156323,0.0010151341676174,202.942290750402,6.55172331437309,2000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,59.630350812271,365.342121756605,0.364187726010487,1,0,51.3480325357825,-0.369109026535981,12,91.9299489943065,17.748197794482,36.4895841658403,18.6402671562386,31.1548429404832,7409294.3199556,281.80884134806,0.0015270870437053,59.0362564835251,6.19645825511794,1982,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,136.974985515594,1334.14187818113,0.175966358700907,14,20,54.6651299581602,-1.72706330895754,5,84.7143442279446,52.0887798705479,29.7862368768432,18.6461380132212,5.26928860205848,5605346.70316402,282.042879252326,0.0012809911847704,307.682874364764,6.30168070276258,1988,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,36.0298998575773,386.529893898953,0.158271529749856,14,6,52.2421174908015,-1.00057590708584,1,81.6988427183471,27.4462697272368,42.9733967685232,18.6406645909245,16.9077683354107,114120.609961379,276.291133285485,-0.0001902124641234,154.008575617307,3.61390280932075,1997,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-43.0255889359272,1432.28491324459,0.172370363018586,14,16,51.289125940121,0.117553356850375,10,76.1963449874921,17.7650795513306,36.4055796510732,18.6490291128127,13.7996420450011,2640356.69306792,288.901918516781,0.0001116660748228,280.44512521997,12.4868479005731,1989,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,104.719729425146,1495.64191886179,0.204910339104096,9,15,54.5243680654343,-1.71057177264413,1,76.2567237108088,17.7450251532927,36.4971683100403,18.6371933610703,13.8026895753761,2095886.98104929,279.214657221709,-0.0002120111364868,293.821338786129,9.88870201894439,1981,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48.4634406559822,247.78535303961,0.154446970769486,25,0,52.2563703244498,0.899309187958167,5,36.2745301861654,17.7706984127395,36.441851057888,17.9398386518526,13.8185281313542,9151063.06385832,288.048187472994,0.0009036082324407,211.370216436419,1.96569596996873,1992,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,68.5958451424089,1676.2867955768,0.164561886911922,12,18,53.1774669322803,-1.6139601542405,6,73.6761762199037,43.8216074446371,35.6293313779994,18.6385486763805,22.4271189436022,7606590.45577064,292.048630246901,0.0008141006095118,300.974360882319,2.875607366352,1998,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-14.7188667507766,609.561462647658,0.152425621640544,14,20,53.0268819846142,-2.80159426383413,2,71.1726130386074,17.10879611523,43.4712179258758,18.6288328218315,16.3417925277243,6026268.65802016,279.02563066984,-0.000564156637544,177.261299548042,4.97480760880281,1997,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,57.5957899525088,151.611868576769,0.194960533573034,21,23,50.5676252043621,-1.24320794646552,5,76.2497833010395,17.7434319566308,36.4786166267243,18.6436191463892,13.8501349233198,6906552.09098264,279.593146223011,0.0003362328017871,230.580764927521,2.82433933543226,1986,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,-18.9383718182473,310.792677777405,0.219392743828996,29,21,52.2719807419853,-0.295679198801415,10,76.2684511045369,17.7605259323665,36.4705812676441,18.6464402236463,13.7821124599881,5133487.12328043,281.616002172009,0.0003544598867311,190.151296897135,4.21987174801972,1994,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,43.166864688583,532.029080501497,0.161966173683538,30,9,52.7994894953761,-1.28597785902877,8,76.3674999638626,17.7240507897518,36.4723310788303,18.6412833941168,13.7917817346935,2492534.63786731,286.673948713482,-0.0008322009885742,45.5713664374281,2.8913099463677,1983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,170.581215055305,1010.97964339195,0.113678799910315,21,10,51.4845669488007,-1.20216830197783,8,303.977949333842,19.0423546759323,36.5034889114746,18.6449250030209,16.233085864246,4328121.71076643,288.584048061867,-0.0042294116874547,194.370987274718,1.48491666458467,1993,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-66.705093848401,-150.761843174234,0.247054568160199,13,18,50.7671023205593,-1.77250824660514,1,76.2966506172089,17.7424282813853,36.4736655440188,18.6429200611578,13.8234231580333,3744501.50747679,274.214632136346,-0.001866762110178,107.409499146757,0.893296305059455,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-125.320405704193,439.662520708494,0.233255859202507,15,11,54.8870268205755,-2.62837353949828,10,59.6037071716417,17.7405949620507,36.4752329484502,18.6451772472707,13.8135551973701,3093719.25193615,283.22642053533,-0.0024956606552028,196.711460769536,3.49285127753246,1987,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,48.1350778241809,488.12992686578,0.0847917146238383,19,2,54.8264128549433,-1.6151620581968,8,19.339469455867,73.7233592404616,36.4729531028971,18.6446958112121,8.49348540331139,2940822.70930346,285.418482911231,0.0013541949574098,171.030501179119,6.60206688985223,1989,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9.83552851190836,2051.40888240545,0.176468144622335,3,18,54.6546257500736,-2.3436694553675,4,70.814842945473,24.7595968272839,35.5515916658692,18.6275155320802,15.5562163832029,6209953.28884239,284.357107645574,-0.0002928466435176,144.714674166428,11.2014993119957,1993,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-55.6093278449598,1370.128550545,0.192149338683734,4,17,53.0899467878688,-1.0923852086536,6,44.5648374771652,5.74518964223839,32.5328354285862,19.3293761898021,3.23639770833629,3329500.22127768,286.111675738155,0.0015711370223829,234.744338674931,3.45009978724771,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,-68.7048281248837,1023.44533688587,0.162914035862434,17,9,53.1491445980761,-1.36764891229756,11,45.4920321222692,19.5899756818587,31.9885294283043,18.6464309651067,8.74577135689532,1492197.51716886,274.264455664583,-0.0052612775733898,239.843138235209,7.22928785823607,1990,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,46.2339814423485,836.220380322531,0.137984844547957,27,8,52.0857756912466,-0.89879549973875,5,76.3398363647065,17.756795457678,36.4757790097085,18.6436208450681,13.8013067246557,610246.104185964,282.309102303836,-0.0017784680017094,245.890781124147,6.16751247211529,1986,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,242.720527050849,-152.250567269452,0.149528513317408,27,5,53.4375435975219,-0.537677896024926,9,93.3396679610203,17.814229302751,34.9819562943069,18.6513453586637,6.61977817159784,90931.9670609483,283.841009684469,-0.0109664980639358,127.023086848613,0.619618234908813,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,84.1228310184315,226.930494296913,0.175250313285355,17,19,51.6437012085532,-1.41873017750391,11,127.538130413375,20.0941644722441,33.2343254594561,18.6420314996728,13.8312092877841,3775651.21075162,281.26523963176,-0.0011238797774472,161.216486646797,4.16740594510264,1991,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,50.2508954334872,2034.57863681675,0.191390944204023,1,14,53.204375734796,-1.11252397414683,4,76.3411717062029,17.7389886762617,36.4759416743401,18.6430657416048,13.8033992559577,7226959.41156701,283.10054302899,0.0007899365888741,199.75283386882,6.74110564891681,1985,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,98.978206332836,1136.30684245163,0.140353906003826,23,20,53.6192314074418,0.105983823001009,8,76.3803979525796,17.7401058519428,36.4638142507624,18.6405458215791,13.8078133090127,5061741.64061481,288.741037745074,0.0014471883018424,295.901286956557,2.87469513086146,1981,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,47.9587883946405,1629.00834363585,0.192587854958255,2,20,53.1214075096195,-0.632175382605666,5,68.7561240414283,34.9510892935865,42.2161740919482,18.6457444781981,44.3444359576743,7530988.91398473,287.284122298567,0.0020310990511335,350.076073303299,5.69364943138462,1992,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,123.318006167309,596.718829592475,0.253143484850695,3,20,51.8892949873757,-1.29668469753387,11,76.3185399755234,17.7519318401903,36.4343880639329,18.6424076778883,13.8417248955496,3714044.4891803,276.408915268968,-0.0001090727271276,337.124719479553,4.21114143914374,1990,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,224.21525714028,1213.88182022196,0.222930870618681,5,10,52.2098861581549,-2.31553651191059,8,76.513501074147,17.802689105923,36.4961463617499,18.6398055163556,13.8235645121979,1115110.29186991,290.924842951247,0.0010401181838466,276.778069795671,9.42934154879799,1993,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,23.4449542900718,689.775442090665,0.212371915288661,21,12,54.4707642836718,-1.78608029673892,10,74.0690694448018,46.3842439505603,31.883588723308,18.6406507021971,17.4229892477766,4387328.75872998,277.697577432419,-0.0051696514019346,203.108876199205,3.69498296753231,1992,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,21.1464030240982,901.190342519108,0.181064277540018,19,5,51.1591135166611,0.0351944291425514,10,32.2393934263527,36.9304089533118,18.6244046773191,17.8176111264041,15.973455430422,48694.0473276639,284.171610267262,0.000319675012023,84.9530821196064,9.64074269078253,1999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,5.10108687995347,789.521856810062,0.1599776662008,5,10,53.9849340700985,-0.877717734020966,9,95.2809491201013,0.614496303346616,35.6293315260907,18.6412303430489,-4.68994139295075,3229231.78185966,285.05021680149,-0.0014305873202212,277.211569036914,3.37786972833434,1989,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,80.1866092738126,223.976305178098,0.176507496889617,28,4,52.3106256687481,-2.07699921026794,4,76.0539151285556,17.7349563624927,36.579156456692,18.6415025037702,29.573475031085,-2.02596650057603,278.702951043626,0.0004822914353655,296.588695807768,4.03625944045923,1992,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,85.639795951454,466.358235562833,0.221870474976336,7,0,54.8168662756938,-2.58000076442382,12,76.2955765872077,17.7910322448481,36.4683002600826,18.6429036275493,13.8067971999926,1060943.61488562,276.173494956342,0.0010122256540702,236.83141164184,4.23033269036407,1983,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
