target,Altitude,blh,co,CVD60,Day,Hour,Latitude,Longitude,Month,no2,o3,pm2.5,so2,ssr,t2m,tp,wd,ws,Year,Region_East of England,Region_Greater London Authority,Region_North East,Region_North West,Region_South East,Region_South West,Region_West Midlands,Region_Yorkshire and The Humber,Season_Spring,Season_Summer,Season_Winter,Type_Background Suburban,Type_Background Urban,Type_Industrial Suburban,Type_Industrial Urban,Type_Traffic Urban,Zone_Blackpool Urban Area,Zone_Bournemouth Urban Area,Zone_Brighton/Worthing/Littlehampton,Zone_Bristol Urban Area,Zone_Coventry/Bedworth,Zone_East Midlands,Zone_Eastern,Zone_Greater London Urban Area,Zone_Greater Manchester Urban Area,Zone_Kingston upon Hull,Zone_Leicester Urban Area,Zone_Liverpool Urban Area,Zone_North East,Zone_North West & Merseyside,Zone_Nottingham Urban Area,Zone_Reading/Wokingham Urban Area,Zone_Sheffield Urban Area,Zone_South East,Zone_South West,Zone_Southampton Urban Area,Zone_Southend Urban Area,Zone_Teesside Urban Area,Zone_The Potteries,Zone_Tyneside,Zone_West Midlands,Zone_West Midlands Urban Area,Zone_West Yorkshire Urban Area,Zone_Yorkshire & Humberside
3,0.887300868199979,-81.1904136011306,1.61634633858497,0.149659481189307,10,10,52.4400770562723,-0.50714982887061,5,76.3102179597414,26.5796213170798,18.641229732986,16.3442550655772,387933.897879424,287.244022563321,0.0009670163035145,295.796106631264,0.0758507939492276,1989,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,213.441434131352,715.949924891518,1.47553120821493,0.223269422264844,21,6,54.5050511355325,-4.16680835702872,3,76.3307969303585,17.7373276873519,18.6382131540318,13.8122204721349,62288.6813696015,277.29827260947,-0.0233065699124143,256.214214384948,4.11953490829221,1982,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,186.902956579166,188.315271647893,1.44152373936082,0.177441719861219,30,4,53.3880276992034,-1.6340658561857,11,76.2221557214633,17.7453799045399,18.641660329844,13.7913230248855,37.2993378502537,280.181306704592,-0.0003212366024657,125.680430271767,3.50594335666478,1987,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,106.061791568029,1455.10868292202,1.85496680625288,0.194909424003604,11,18,53.259318576856,-1.64058554035441,9,84.3875762499956,17.7497810936953,18.6359207175817,22.6754516988614,5064548.95794643,286.520673300417,-1.32311387989292e-05,325.289186522861,5.83604389100473,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,86.8293873664581,461.57158610213,2.15012815621899,0.214890051761246,21,2,52.6220483393683,-1.04899581496755,3,85.8196189357217,17.7419550838109,18.6410268651952,14.4644209898289,728952.686062331,276.261902497594,0.0003618650272903,275.365235973229,6.55237193089914,1989,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26.919458296033,952.703987968538,0.0413526664022055,0.214997475674208,25,23,51.8350722433138,-2.54438088927476,1,40.7204330043753,48.0533559125682,18.640992751725,12.834980330587,2286373.38696855,271.801693669765,-0.0008731353533891,70.1504698731754,7.77585472066653,1996,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,205.226249351943,790.291248338299,1.46134384391632,0.156749432356518,17,12,53.1835228145648,-0.392864720319052,11,76.2763332784812,17.7296061267402,18.6457395417681,13.8289960095003,3900529.45916766,281.068416391855,-0.0040324528141816,175.429793321913,2.55185804694899,1997,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,-45.5138358902674,1669.89184837537,1.44177055628699,0.150133979206769,3,23,52.4060622046447,-2.28064780782395,10,76.3704404119741,17.7526007989349,18.6406694764737,13.8281448267109,963153.122119836,290.464873078411,0.0032207835057245,202.493221874499,15.4915661479165,1985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,-29.4607551386539,497.429892090776,0.146622153233051,0.262175863803293,22,23,53.3397240839212,-2.43624660429269,8,48.9899548576884,25.2613809058456,18.6386983908833,30.0905725188236,3768678.56434146,286.513288568276,0.0024276022193655,181.385105764239,5.08032567866872,1996,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-87.7714749077027,1743.93791963329,1.44135794441926,0.241642328935897,28,12,53.800391616379,-0.299501482514999,2,76.2638556974902,17.74721207332,18.6447606700395,13.8170489318583,4564079.60315402,280.290690997439,-0.0007416740883033,289.135923925357,16.175189291891,1990,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,70.4966755462965,396.984947055914,1.44256721230505,0.122907372552593,23,23,51.2713216098415,-1.82191267072796,12,76.3691684881926,17.7355411160968,18.6407679274015,13.8019856954989,-323103.440006627,280.228982907841,-0.0007769908578525,215.467614162184,6.66635096020559,1985,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,44.3174819222109,1589.74710193412,1.44133252069698,0.159457646816847,4,17,50.8275925671467,-0.872528280784236,9,76.3557506021281,17.7259010840094,18.6428087026956,13.8182500691355,4724426.89267903,289.070584261604,-0.000178829603615,204.090274322799,8.6670599118437,1985,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,141.650295876129,1131.63115994242,1.04687892997047,0.182292356632168,1,19,53.7252598306676,-2.27365001511283,7,-1202.14144486263,22.3697635833249,18.6416064259997,16.2022978270695,-8637762.20389387,292.149625158571,0.0046691509792108,108.22101781931,5.64577038673529,1994,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,196.533332923934,1682.94856646486,1.42172891161353,0.174266956131879,24,16,53.5766569471251,-1.67652730959583,4,76.2708816747283,17.7925341541614,18.6404713674057,13.8099289891736,3923325.19688493,278.898651309136,0.0009897762929486,260.265530043438,0.932149913461618,1998,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,143.20961539542,218.209658368988,1.44278203272679,0.204361274416028,22,5,51.9074498915001,-1.77578939830621,12,76.3332285325895,17.76166224442,18.6416597873662,13.8069614457048,131574.132176715,279.030974327278,0.000273787899566,105.135763530508,1.64817355427272,1987,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-30.1093157457733,1352.55722445989,1.27350706539983,0.193441762183227,13,18,53.9002326581809,-1.86855473633257,8,85.3515298941674,37.6909004765727,18.6382949814342,22.4271196772824,7824050.14745138,291.988027176652,0.0013897072632565,211.930687071571,2.42908324357279,1984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6.44880812757157,1903.81833928452,1.23620798725611,0.21197261838854,16,3,53.3259486316849,-0.979431204232052,2,528.726032603712,19.9933291857778,18.6364650024141,35.2111886080681,-760786.44760579,282.587548927981,0.0005644119914948,173.836038227734,17.5330764042692,1997,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-55.6017427580352,535.812515381765,1.51217116017224,0.174320206497287,22,21,51.2396222870287,-0.915346701416196,6,79.363226952362,19.425393583995,18.6438498812171,25.9326002182982,7629390.85764401,287.565597549555,-0.000994368587636,271.409072886468,3.90184588310431,1994,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,123.361824179725,273.42105010863,1.58460982640439,0.249558310521492,18,5,52.2315637096607,-0.898857133070342,1,65877.7086018075,24.7679634475307,18.6432622193444,-232.808962265047,7034594.07363134,271.784958555198,-4.22483362770927e-05,166.850755637666,2.68955671300708,1982,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65.9952343399795,738.851494952574,1.39838671158591,0.208460599247815,19,3,51.9381761112753,-1.34503883399862,10,80.5207645381925,9.50275953638308,18.7160885674154,18.3650373670473,1766994.35506241,283.335335685356,2.62644420443322e-05,183.427321896328,4.55761928828295,1989,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-34.4903628892577,-226.985979297236,1.22599958863102,0.252876267483009,3,19,51.3034167559309,-2.19674859343339,11,102.939874460072,17.7444864224196,18.6405905307634,15.3702969903555,3621633.20423136,277.766615229649,-0.0040597904815349,237.432771778495,-1.58604065420771,1996,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,102.748669332378,-119.693386567955,0.908765339991159,0.19555017054109,30,9,52.7346941160776,0.908677764130663,11,42.4119796625511,7.43124186585786,18.6404713625732,19.7092624701223,-1353019.46152572,280.274210953589,0.0087236497658148,98.8861119249592,3.80481066894067,1998,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,92.3826441197308,559.2575082027,0.933528081174484,0.172447861200396,17,16,53.0762040499929,-2.32144051239427,10,82.3984781911869,17.2354757677243,18.6463142245677,14.6277076113235,1713487.00505103,290.796157786682,0.0016498986755354,85.2328354541194,11.3014296700186,1994,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,100.228637844896,2223.29898124059,1.27350699471465,0.159310095216973,21,15,52.1258651403324,-1.57428332904288,8,72.594157932067,55.879194374325,18.7146208852298,16.0171711548621,8382788.61237675,293.802956702351,-0.000931301759104,245.310344740403,1.85857468644565,1989,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,48.0402321670404,228.448093136713,1.43976194396324,0.153080463976545,9,2,51.0440201856398,-3.01323886189959,9,76.3258617868416,17.7674091246637,18.6443450672015,13.8046074891776,5441239.80481201,289.506164429664,-0.0016333505328731,145.823380872457,1.46887781088491,1985,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,54.2020555214744,452.947503763554,1.44103499307274,0.22077750281103,27,5,54.4007896860104,0.0222602289206515,3,76.3362440149688,17.7466304005237,18.6393528683561,13.8126676441465,-43418.7610573455,278.749492589863,0.0013808747038911,292.587193285211,6.53384466279146,1988,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,187.822828885695,304.668810583124,2.0417129373069,0.234221328489595,27,2,52.3726866336165,-0.299713522484412,3,66.3525414767399,17.7448095963126,18.651356869351,18.3384742733582,1659860.57096728,277.440370555082,0.0011642263584648,61.8449635098987,8.13394445644983,1996,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-28.4836150393385,1459.63579257895,1.54154337546747,0.163310752190411,31,10,52.1629502279697,0.293758916820956,4,76.3021534489082,17.7464198464691,18.6392827886394,16.3442546179454,967376.40176077,282.967684647191,0.0008570471175184,300.639046378463,5.31928516598936,1982,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-31.6373006733899,1362.55231778479,1.44281506031268,0.122022150648585,27,15,53.9779731076019,0.0495054643023831,5,76.3770956779011,17.6971859007372,18.6495485706865,13.8012017778984,6952830.80602681,296.964515059154,0.00161145704491,77.0738959979853,9.91055100919277,1992,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,171.88227018431,515.827019497785,1.17297610359743,0.191753533612863,5,8,49.8368348931813,-2.29706715353904,3,76.9659369053514,19.5438180929515,18.6348035701575,32.0124266106365,989754.307771223,278.687638586739,0.0002200874823462,316.992658281494,2.07231889001275,1993,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,29.387346091628,847.801022585455,1.44292293771611,0.154944288409305,23,18,51.5163294271017,-1.49870174331363,5,76.3874358084087,17.7328131695625,18.638020266413,13.7752348983853,7354477.03647495,289.720778446882,0.0014738091552404,134.631040977276,3.05804585584696,1983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,81.0846487628374,769.811152685684,1.44196296928847,0.193883736646935,15,9,54.4722598999659,-1.30338916458277,4,76.3724316373621,17.7923032695199,18.6470798543509,13.787386674593,401318.97204867,282.209959899978,0.0007492042919003,202.792715393489,6.92771779330409,1988,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,-14.3457900051202,677.923102492989,1.4438353348726,0.17427745731157,17,15,53.3903703309281,-2.77219246376593,1,76.2506650906982,17.7693029084563,18.6382549150744,13.7967216756361,2603788.39071154,283.735350910214,-0.000417579729076,291.65854009682,6.19492101311507,1989,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0.0987668631234087,587.996285865293,1.57914254047204,0.328701868671145,13,19,51.5746196994044,-1.33747129920966,12,83.1774215427847,17.7398495741018,18.6482885368611,13.8110895005727,3106296.72177648,278.902228473528,-0.0078345174477113,206.993878642864,5.99611067555121,1989,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,110.605416910515,455.245153991772,1.44386600591034,0.206031170043736,16,3,52.5404567925013,-0.270616274637088,11,76.244539226971,17.8002099781752,18.6398638340217,13.8303572829319,1653031.2925873,280.259443340724,0.0003590682179411,167.927795919254,7.29067559878932,1995,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,82.0839025566898,91.5119348822087,1.44172240608559,0.242054524680784,14,8,51.5125977297664,-0.177186730303887,11,76.3113734355358,17.7826051624757,18.6386982816103,15.0080613994233,22906.6594506421,279.287602358585,-0.0004579391902772,273.191955940116,2.47998730187696,1996,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,48.3009582834649,966.934868832821,1.44184256818152,0.190980918364758,5,6,52.0724132426406,-0.755423901870642,12,76.3352910176706,24.4997853509633,18.6416287148137,13.8378064018676,-47189.5868131495,283.878078812625,-0.0007797617312326,221.120202100101,8.73710759425557,1986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,114.64071337462,896.677000559576,1.44231703963398,0.173578928836898,22,16,53.898183442975,-1.07787073099019,2,76.3034733495954,17.7702607405257,19.7591265700601,13.8019524374475,3476068.9223522,275.87704389335,-0.0006972985111275,97.1418586553862,6.82876316606666,1984,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-33.7533023886022,524.741631442387,1.44322435776488,0.168626686741835,19,2,51.4205083000705,-2.57531468563199,9,76.8245427461476,28.60221674834,18.1612670635634,6.07460654823333,4220696.96411304,287.419037975389,0.0009106644162718,178.647373236077,5.96957242071271,1994,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,-21.4113126608639,256.193991296393,1.44286446924346,0.158252892533995,10,6,54.9248392467668,-2.5574438195069,5,76.3332759438444,17.7372014461084,18.6382638790409,13.8175851590805,133007.198458133,282.876441277865,0.0001893041563451,262.080653178115,1.48502992656769,1989,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,84.7902940564132,532.314861758018,1.44231633826225,0.200549603117903,16,22,52.6168935227435,-2.38631692867113,11,76.4702151800471,17.7568843749428,18.6466990713815,13.8248728526244,-1070814.95284599,278.42104127221,0.0073161580179081,107.600386811401,4.60687111994066,1984,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-71.2395210461974,789.249727722792,1.44323485349146,0.194048868589767,15,22,52.4118249035041,0.200447682018063,1,76.2955815098493,17.7564851781899,18.6344156361304,13.8088978083245,1269570.05699353,277.732124463416,0.0013336949455934,221.407783456969,7.84391189844482,1993,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,187.969311196005,676.612468586031,1.48394362951258,0.179078339942967,15,15,53.2276600166087,-0.725079965886825,5,76.4209398022858,32.9118640532722,18.6941954823525,13.8193672097491,4099723.89437041,281.023228771043,0.0002498286816035,79.3707724652833,6.18902291145527,1996,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,107.145938613187,692.472042025299,1.44280556599598,0.211209142217839,23,11,52.2630962797684,-1.30553910469498,11,76.3402385704492,17.7326033237196,18.6436951617293,13.8181929415856,4560427.88450442,284.278686462776,-0.0047783676329566,263.728580304835,5.30896247724604,1994,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
